"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710","LFCandPADJSig","gene_symbol"
"1","ENSMUSG00000000001.4",3788.57801774275,0.0546241732339694,0.0595724690050354,0.91693653370909,0.359175898348924,0.68505043040296,3687.40631818983,3612.48755532528,3862.10414539154,3905.91864618226,3984.0548618271,3679.49657954047,"Not significant","Gnai3"
"2","ENSMUSG00000000028.15",1086.36203224038,-0.12956554506063,0.0769217524694153,-1.68438108728927,0.0921080434740632,0.338601411780181,1091.79092686619,1147.15324613258,1182.54053308419,1081.59049701872,1030.01306444551,985.083925895073,"Not significant","Cdc45"
"3","ENSMUSG00000000037.17",19.454540242095,-0.0604260407733324,0.15784031453692,-0.382830210080444,0.701845660378459,0.885298576868244,13.7126850862381,22.1702725646826,29.0788655676441,28.3799255777506,17.8357240596625,5.54976859659196,"Not significant","Scml2"
"4","ENSMUSG00000000056.7",1454.64304444881,0.0545627200011206,0.0878140575711865,0.621343797453948,0.534373442516338,0.803839293922462,1561.28714481882,1359.98786275353,1348.39776632187,1344.36758570159,1559.88270005131,1553.93520704575,"Not significant","Narf"
"5","ENSMUSG00000000078.7",850.278088025427,0.659753172501072,0.079719197377387,8.27596355966595,1.27420965024744e-16,2.31411686928521e-14,649.067094081936,668.275358735432,622.503122151788,1054.2616797957,1022.58151275398,1084.97976063373,"Significant up","Klf6"
"6","ENSMUSG00000000085.16",337.258374224114,-0.063425453930713,0.123834107121166,-0.512180815166325,0.608524468653133,0.845282233299061,325.186532045075,326.219724880329,396.334167736779,351.070190480322,350.026084670876,274.713545531302,"Not significant","Scmh1"
"7","ENSMUSG00000000088.7",1603.10191821839,-0.1114952501688,0.0718720834565921,-1.55130121191129,0.120829516548124,0.395867947592237,1653.35803039785,1609.56178819595,1755.50188426888,1556.69147335735,1597.78361367809,1445.71471941221,"Not significant","Cox5a"
"8","ENSMUSG00000000127.15",30.03605568636,0.265397147891369,0.17557697695957,1.51157146276919,0.13064291600177,0.413651574787806,22.8544751437301,24.7040180006463,25.8478805045725,37.8399007703341,35.6714481193249,33.2986115795518,"Not significant","Fer"
"9","ENSMUSG00000000131.15",1376.78669848369,0.0131435665945703,0.0674078572500014,0.194985675717648,0.845404161517132,0.945151041651914,1343.19015344723,1385.32531711316,1386.0925920577,1415.84295382333,1373.35075259401,1356.91842186673,"Not significant","Xpo6"
"10","ENSMUSG00000000134.17",113.008265699112,-0.182923030273062,0.15339556306822,-1.19249231603726,0.2330682618913,0.558632960086223,134.514910845955,112.751671900386,120.623442354672,92.4975352163722,112.216430542043,105.445603335247,"Not significant","Tfe3"
