"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000000673.9",12,10,7,6,11,2
"ENSMUSG00000000682.7",6722,7627,3372,4168,5267,1843
"ENSMUSG00000000686.11",202,209,126,142,200,52
"ENSMUSG00000000690.5",0,0,0,0,0,0
"ENSMUSG00000000693.10",12,19,9,7,4,1
"ENSMUSG00000000701.8",0,0,0,0,0,0
"ENSMUSG00000000706.16",8,12,5,6,5,3
"ENSMUSG00000000708.14",437,453,250,301,423,120
"ENSMUSG00000000711.3",215,234,130,140,187,53
"ENSMUSG00000000724.10",0,1,0,0,0,0
"ENSMUSG00000000730.13",0,0,1,0,2,0
"ENSMUSG00000000731.15",23,34,12,20,18,10
"ENSMUSG00000000732.9",76,81,50,49,67,17
"ENSMUSG00000000738.18",963,1061,588,611,806,228
"ENSMUSG00000000739.14",3,1,1,1,1,0
"ENSMUSG00000000740.12",19,14,14,12,23,3
"ENSMUSG00000000743.9",476,413,247,248,424,111
"ENSMUSG00000000751.13",6689,6926,4715,4821,6794,1541
"ENSMUSG00000000753.15",60,70,39,36,44,13
"ENSMUSG00000000759.14",1058,1082,620,534,761,207
"ENSMUSG00000000766.18",1,4,2,1,0,1
"ENSMUSG00000000776.13",170,148,99,89,150,35
"ENSMUSG00000000782.16",51689,49096,26129,27368,42402,12289
"ENSMUSG00000000787.12",13875,14014,9063,8886,12817,3078
"ENSMUSG00000000791.9",138,122,80,83,138,33
"ENSMUSG00000000792.2",0,6,7,0,2,2
"ENSMUSG00000000794.9",5,5,3,0,2,1
"ENSMUSG00000000804.14",682,697,406,416,594,159
"ENSMUSG00000000805.18",0,5,1,8,5,1
"ENSMUSG00000000811.13",60,66,20,28,37,21
"ENSMUSG00000000817.10",17,16,8,3,6,3
"ENSMUSG00000000823.16",589,564,359,333,507,124
"ENSMUSG00000000826.16",1557,1605,1057,1024,1449,340
"ENSMUSG00000000827.18",969,993,623,560,796,197
"ENSMUSG00000000838.17",1812,1967,1200,1329,1788,455
"ENSMUSG00000000861.15",40,46,32,26,32,6
"ENSMUSG00000000869.12",2,0,1,1,3,0
"ENSMUSG00000000876.11",758,812,407,585,794,247
"ENSMUSG00000000881.12",609,568,366,320,500,121
"ENSMUSG00000000884.17",168,171,83,118,170,56
"ENSMUSG00000000889.8",1,0,0,0,2,0
"ENSMUSG00000000901.17",21,23,18,17,22,3
"ENSMUSG00000000902.13",3251,3090,1880,1804,2772,710
"ENSMUSG00000000903.3",1,5,4,5,1,0
"ENSMUSG00000000915.15",160,155,111,112,168,35
"ENSMUSG00000000916.15",392,402,249,226,321,80
"ENSMUSG00000000934.9",32,44,22,25,25,9
"ENSMUSG00000000938.11",0,0,0,0,2,0
"ENSMUSG00000000942.10",1,3,1,3,3,1
"ENSMUSG00000000948.16",0,0,0,0,0,0
"ENSMUSG00000000957.11",443,414,193,120,194,67
"ENSMUSG00000000958.10",47,63,35,31,32,8
"ENSMUSG00000000959.7",1339,1394,709,798,1116,341
"ENSMUSG00000000976.13",1005,1128,625,664,859,243
"ENSMUSG00000000982.5",1,0,0,1,3,0
"ENSMUSG00000000983.13",81,63,47,17,37,7
"ENSMUSG00000001014.6",1,2,0,1,1,0
"ENSMUSG00000001016.12",4006,4007,2590,2230,3246,780
"ENSMUSG00000001017.15",1837,1736,1073,1038,1603,405
"ENSMUSG00000001018.15",187,159,85,70,126,39
"ENSMUSG00000001020.8",2,0,0,2,0,1
"ENSMUSG00000001021.13",1,1,0,1,2,0
"ENSMUSG00000001023.10",0,0,0,2,0,0
"ENSMUSG00000001025.8",207,190,112,109,176,48
"ENSMUSG00000001027.7",1,3,3,1,3,0
"ENSMUSG00000001029.15",2962,3041,1765,1888,2681,719
"ENSMUSG00000001034.17",666,641,394,397,602,153
"ENSMUSG00000001036.17",11,12,9,7,9,0
"ENSMUSG00000001039.12",39,45,27,19,22,6
"ENSMUSG00000001052.15",3229,3542,1957,2259,2997,846
"ENSMUSG00000001053.15",278,224,140,147,273,70
"ENSMUSG00000001054.9",812,735,491,493,793,185
"ENSMUSG00000001056.3",703,643,461,407,644,139
"ENSMUSG00000001062.18",159,158,85,84,125,37
"ENSMUSG00000001065.15",527,483,328,285,452,103
"ENSMUSG00000001076.7",0,0,1,0,0,0
"ENSMUSG00000001082.12",534,549,324,295,417,110
"ENSMUSG00000001089.14",143,143,74,45,66,22
"ENSMUSG00000001095.5",0,0,0,0,1,0
"ENSMUSG00000001098.15",1499,1380,855,807,1282,323
"ENSMUSG00000001100.10",440,495,304,302,392,99
