"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000023826.16",2,0,0,1,4,0
"ENSMUSG00000023827.8",313,312,178,178,261,72
"ENSMUSG00000023828.3",67,56,40,48,83,19
"ENSMUSG00000023829.9",0,0,0,0,0,0
"ENSMUSG00000023830.14",11223,11320,6472,5113,7397,2012
"ENSMUSG00000023832.14",301,250,128,112,209,65
"ENSMUSG00000023845.7",6204,7179,4042,4435,5593,1550
"ENSMUSG00000023852.14",7556,7066,4681,4212,6547,1540
"ENSMUSG00000023861.17",128,94,49,38,88,29
"ENSMUSG00000023868.17",52,56,31,26,34,11
"ENSMUSG00000023873.13",204,189,114,114,180,47
"ENSMUSG00000023882.15",138,145,91,110,151,37
"ENSMUSG00000023883.13",1593,1575,1035,1037,1527,360
"ENSMUSG00000023885.9",35,42,15,23,27,14
"ENSMUSG00000023886.10",21,31,13,12,9,5
"ENSMUSG00000023892.8",341,377,240,346,457,111
"ENSMUSG00000023902.18",0,0,0,0,0,0
"ENSMUSG00000023903.8",61,61,38,42,62,15
"ENSMUSG00000023904.10",166,143,81,86,149,43
"ENSMUSG00000023905.15",17,16,9,3,6,2
"ENSMUSG00000023906.3",0,2,0,0,0,0
"ENSMUSG00000023908.8",601,607,429,384,553,119
"ENSMUSG00000023909.4",6,9,4,5,4,1
"ENSMUSG00000023911.12",8,7,3,7,11,4
"ENSMUSG00000023912.10",59,78,56,56,63,11
"ENSMUSG00000023913.17",193,204,156,156,216,39
"ENSMUSG00000023914.16",21,15,12,5,14,1
"ENSMUSG00000023915.5",104,102,64,73,109,27
"ENSMUSG00000023918.12",4,4,0,4,3,0
"ENSMUSG00000023919.7",600,663,368,418,550,155
"ENSMUSG00000023921.9",827,906,535,547,728,192
"ENSMUSG00000023923.10",552,617,325,407,529,158
"ENSMUSG00000023926.8",0,0,3,0,0,0
"ENSMUSG00000023927.15",64243,59035,36779,32279,51302,12841
"ENSMUSG00000023930.14",0,0,0,0,0,0
"ENSMUSG00000023931.5",7,1,1,0,0,0
"ENSMUSG00000023932.9",2164,2279,1215,1400,1934,565
"ENSMUSG00000023935.10",1,2,1,1,3,0
"ENSMUSG00000023938.8",851,807,515,454,697,170
"ENSMUSG00000023939.7",642,599,334,408,644,181
"ENSMUSG00000023940.14",900,977,617,550,740,181
"ENSMUSG00000023942.15",2622,3172,1640,2251,2698,819
"ENSMUSG00000023943.7",0,0,1,0,0,0
"ENSMUSG00000023944.14",41627,43324,27142,30054,42130,10447
"ENSMUSG00000023945.7",3,0,0,1,1,1
"ENSMUSG00000023947.8",809,833,534,583,825,200
"ENSMUSG00000023949.7",6,2,0,2,2,0
"ENSMUSG00000023951.17",108,97,61,45,74,18
"ENSMUSG00000023952.13",677,638,413,418,646,156
"ENSMUSG00000023953.9",1583,1712,1009,1204,1625,429
"ENSMUSG00000023959.9",78,80,39,27,39,15
"ENSMUSG00000023960.13",173,193,89,117,151,53
"ENSMUSG00000023961.16",414,403,265,249,371,87
"ENSMUSG00000023963.10",30,50,27,28,22,6
"ENSMUSG00000023964.15",0,4,0,0,1,1
"ENSMUSG00000023965.13",529,587,355,418,551,141
"ENSMUSG00000023966.8",11,9,8,6,10,0
"ENSMUSG00000023967.9",625,641,375,359,511,137
"ENSMUSG00000023968.15",45,47,16,22,31,17
"ENSMUSG00000023971.9",574,489,353,270,460,99
"ENSMUSG00000023972.10",690,697,359,320,464,141
"ENSMUSG00000023973.13",627,588,404,335,519,117
"ENSMUSG00000023977.15",6733,7076,4147,3943,5471,1453
"ENSMUSG00000023978.5",0,0,0,0,0,0
"ENSMUSG00000023979.14",0,0,0,0,0,0
"ENSMUSG00000023980.7",873,813,473,454,716,192
"ENSMUSG00000023982.8",0,0,0,0,0,0
"ENSMUSG00000023984.17",0,0,0,0,0,0
"ENSMUSG00000023987.14",17,20,12,10,12,1
"ENSMUSG00000023988.8",572,519,305,255,414,111
"ENSMUSG00000023990.18",143,124,82,90,152,37
"ENSMUSG00000023991.16",667,621,344,347,550,155
"ENSMUSG00000023992.14",0,4,1,0,2,1
"ENSMUSG00000023993.7",0,0,0,0,0,0
"ENSMUSG00000023994.13",447,442,233,226,335,101
"ENSMUSG00000023995.12",0,0,0,0,0,0
"ENSMUSG00000023999.14",0,1,1,0,3,0
"ENSMUSG00000024002.18",5410,5119,3074,2989,4618,1198
"ENSMUSG00000024006.17",4372,4336,2637,2502,3679,942
"ENSMUSG00000024007.15",848,895,540,572,790,204
"ENSMUSG00000024008.16",8,6,1,11,19,6
"ENSMUSG00000024011.17",31,39,21,30,35,10
"ENSMUSG00000024012.18",1350,1342,904,750,1097,252
"ENSMUSG00000024013.15",23,31,24,26,29,4
"ENSMUSG00000024014.8",1223,1229,726,671,974,257
"ENSMUSG00000024018.18",213,196,108,139,222,64
"ENSMUSG00000024019.18",47,56,29,40,49,16
"ENSMUSG00000024026.13",334,368,210,254,336,92
"ENSMUSG00000024027.8",0,2,0,0,0,2
"ENSMUSG00000024028.7",1,3,2,0,2,0
"ENSMUSG00000024029.4",11,10,4,3,5,3
"ENSMUSG00000024030.7",4698,4405,2938,2623,4064,950
"ENSMUSG00000024032.7",6,4,1,0,3,1
"ENSMUSG00000024033.10",3,6,4,3,1,0
"ENSMUSG00000024034.13",5,0,3,4,9,2
"ENSMUSG00000024036.16",464,447,251,338,515,143
"ENSMUSG00000024037.13",285,261,181,142,226,50
"ENSMUSG00000024038.17",2736,2557,1368,1334,2107,609
"ENSMUSG00000024039.15",8,7,6,0,2,0
"ENSMUSG00000024041.10",6,1,0,0,2,0
"ENSMUSG00000024042.7",243,217,132,73,123,32
"ENSMUSG00000024043.13",8,5,7,5,9,0
"ENSMUSG00000024044.19",110,90,58,48,90,23
"ENSMUSG00000024045.6",2722,2467,1647,1467,2352,550
"ENSMUSG00000024048.15",259,160,129,78,194,39
"ENSMUSG00000024049.15",17,22,12,8,7,1
"ENSMUSG00000024050.17",1094,991,599,569,923,239
"ENSMUSG00000024052.17",382,406,265,355,488,115
"ENSMUSG00000024053.11",114,78,61,47,106,22
"ENSMUSG00000024054.14",6233,7015,4462,4222,5510,1339
"ENSMUSG00000024055.15",153,140,79,82,133,38
"ENSMUSG00000024056.10",2559,2628,1700,1587,2252,540
"ENSMUSG00000024059.10",20,42,15,37,28,14
"ENSMUSG00000024063.13",3433,3172,2079,2273,3579,852
"ENSMUSG00000024064.14",6,5,1,0,2,0
"ENSMUSG00000024065.8",977,781,551,577,1051,236
"ENSMUSG00000024066.9",227,240,130,157,216,63
"ENSMUSG00000024067.14",774,860,489,591,775,213
"ENSMUSG00000024068.8",1058,1030,682,628,939,220
"ENSMUSG00000024069.14",611,655,360,382,520,148
"ENSMUSG00000024070.15",1784,1821,1061,1096,1565,419
"ENSMUSG00000024072.9",992,1215,647,722,857,253
"ENSMUSG00000024073.16",16440,18079,9830,9524,12598,3610
"ENSMUSG00000024074.8",280,207,139,140,286,69
"ENSMUSG00000024076.10",0,9,2,0,4,0
"ENSMUSG00000024077.15",1968,1769,1213,1084,1749,398
"ENSMUSG00000024078.7",815,977,575,581,710,188
"ENSMUSG00000024079.4",571,585,429,422,600,123
"ENSMUSG00000024081.9",2407,2387,1450,1449,2130,546
"ENSMUSG00000024082.5",347,372,246,202,275,63
"ENSMUSG00000024083.16",1935,1875,1140,1270,1913,490
"ENSMUSG00000024084.8",155,179,107,87,109,28
"ENSMUSG00000024085.13",2446,2430,1468,1888,2771,714
"ENSMUSG00000024087.4",21,32,14,18,16,7
"ENSMUSG00000024088.4",0,0,0,0,0,0
"ENSMUSG00000024091.9",4893,4833,3203,3029,4461,1045
"ENSMUSG00000024095.15",3605,3862,2291,2360,3213,843
"ENSMUSG00000024096.17",1511,1469,899,892,1338,340
"ENSMUSG00000024097.11",4757,5091,2960,3225,4393,1176
"ENSMUSG00000024098.6",497,477,270,304,465,129
"ENSMUSG00000024099.15",2785,2792,1662,1526,2219,580
"ENSMUSG00000024101.15",1440,1238,681,739,1287,363
"ENSMUSG00000024104.11",2096,2115,1291,1306,1887,481
"ENSMUSG00000024105.3",0,0,1,0,0,0
"ENSMUSG00000024107.7",1,0,1,0,0,0
"ENSMUSG00000024109.18",7,9,8,9,11,1
"ENSMUSG00000024112.16",0,3,0,5,4,1
"ENSMUSG00000024114.15",0,3,0,0,0,1
"ENSMUSG00000024116.6",0,0,0,0,1,0
"ENSMUSG00000024118.14",179,164,100,77,124,32
"ENSMUSG00000024120.12",3545,3716,2310,2065,2874,718
"ENSMUSG00000024121.13",383,289,161,152,316,90
"ENSMUSG00000024122.16",2957,3210,1884,1673,2247,596
"ENSMUSG00000024124.10",4,9,5,6,2,0
"ENSMUSG00000024125.2",7,6,1,0,4,1
"ENSMUSG00000024127.15",667,638,436,353,535,121
"ENSMUSG00000024128.13",0,2,0,0,0,0
"ENSMUSG00000024130.16",1012,973,506,521,798,238
"ENSMUSG00000024131.8",9,19,10,20,16,5
"ENSMUSG00000024132.6",140,119,81,72,125,29
"ENSMUSG00000024134.11",4,5,1,1,2,0
"ENSMUSG00000024135.10",1032,1182,627,708,896,265
"ENSMUSG00000024136.14",1,13,8,22,19,5
"ENSMUSG00000024137.9",813,753,397,406,652,192
"ENSMUSG00000024140.10",189,173,90,102,166,51
"ENSMUSG00000024142.15",456,432,318,229,350,71
"ENSMUSG00000024143.15",12,14,8,2,1,0
"ENSMUSG00000024145.6",225,272,158,192,232,62
"ENSMUSG00000024146.9",1071,1110,643,626,880,237
"ENSMUSG00000024150.12",436,389,220,256,425,118
"ENSMUSG00000024151.13",4854,5015,3279,3690,5208,1234
"ENSMUSG00000024154.11",0,0,1,0,0,0
"ENSMUSG00000024155.8",0,0,0,0,0,0
"ENSMUSG00000024158.17",474,455,263,224,342,93
"ENSMUSG00000024160.16",830,767,475,495,784,198
"ENSMUSG00000024163.17",602,652,357,423,569,163
"ENSMUSG00000024164.15",3264,3417,1589,1654,2299,762
"ENSMUSG00000024165.9",255,256,156,160,232,60
"ENSMUSG00000024168.8",0,1,0,0,1,1
"ENSMUSG00000024169.16",1340,1411,754,756,1045,305
"ENSMUSG00000024170.15",313,346,226,188,248,57
"ENSMUSG00000024171.5",0,0,3,0,4,0
"ENSMUSG00000024172.10",0,0,0,0,0,0
"ENSMUSG00000024173.11",0,0,0,0,0,0
"ENSMUSG00000024174.9",44,56,32,57,66,18
"ENSMUSG00000024175.2",0,0,0,0,0,0
"ENSMUSG00000024176.10",0,0,2,0,0,2
"ENSMUSG00000024177.9",72,64,42,33,54,13
"ENSMUSG00000024180.14",31,40,17,24,25,11
"ENSMUSG00000024181.9",837,1023,536,585,694,209
"ENSMUSG00000024182.16",1343,1360,866,832,1196,292
"ENSMUSG00000024184.15",0,0,0,0,0,0
"ENSMUSG00000024186.15",6,5,3,1,4,2
"ENSMUSG00000024187.15",126,112,76,60,100,23
"ENSMUSG00000024188.16",1876,1721,1101,892,1419,346
"ENSMUSG00000024190.7",311,336,168,133,178,58
"ENSMUSG00000024191.15",320,342,202,219,299,79
"ENSMUSG00000024193.8",214,181,109,148,258,68
"ENSMUSG00000024194.16",848,885,459,520,726,219
"ENSMUSG00000024197.10",1075,953,475,499,848,261
"ENSMUSG00000024201.12",2808,2652,1550,1492,2314,617
"ENSMUSG00000024205.7",0,0,0,0,0,1
"ENSMUSG00000024206.15",187,178,111,103,159,40
"ENSMUSG00000024207.8",2,0,0,0,0,0
"ENSMUSG00000024208.16",690,642,385,296,467,122
"ENSMUSG00000024209.9",0,2,0,0,0,0
"ENSMUSG00000024210.3",1,2,0,1,2,1
"ENSMUSG00000024211.15",7,7,1,0,3,3
"ENSMUSG00000024212.9",778,822,525,526,726,176
"ENSMUSG00000024213.14",108,94,73,73,121,24
"ENSMUSG00000024215.14",0,1,3,0,1,0
"ENSMUSG00000024217.10",436,534,281,318,375,113
"ENSMUSG00000024218.13",466,477,289,292,417,107
"ENSMUSG00000024219.16",1255,1311,773,736,1027,271
"ENSMUSG00000024220.14",60,74,43,57,66,18
"ENSMUSG00000024222.17",12964,12312,7262,6149,9470,2498
"ENSMUSG00000024223.3",0,0,1,1,0,0
"ENSMUSG00000024224.5",0,0,0,0,0,0
"ENSMUSG00000024225.5",0,0,0,1,0,0
"ENSMUSG00000024227.14",0,1,0,0,0,0
"ENSMUSG00000024228.12",18,17,9,9,14,6
"ENSMUSG00000024231.15",1177,1350,720,711,898,264
"ENSMUSG00000024232.2",91,83,44,47,78,25
"ENSMUSG00000024233.10",0,0,0,0,0,0
"ENSMUSG00000024234.7",706,732,427,458,643,172
"ENSMUSG00000024235.11",85,97,52,93,118,35
"ENSMUSG00000024236.18",2397,2249,1533,1668,2579,589
"ENSMUSG00000024238.15",2813,2791,1613,1722,2533,682
"ENSMUSG00000024240.13",1525,1671,1004,955,1272,329
"ENSMUSG00000024241.7",738,769,479,483,675,168
"ENSMUSG00000024242.15",235,236,147,151,219,55
"ENSMUSG00000024245.4",0,0,0,0,0,0
"ENSMUSG00000024246.9",385,386,252,182,265,62
"ENSMUSG00000024247.14",11,7,7,3,8,0
"ENSMUSG00000024248.14",117,111,75,68,104,24
"ENSMUSG00000024251.10",1921,2002,1181,1075,1504,397
"ENSMUSG00000024253.9",38,36,24,24,37,9
"ENSMUSG00000024254.15",0,4,0,0,3,0
"ENSMUSG00000024256.7",4,3,1,0,2,1
"ENSMUSG00000024258.4",996,935,610,521,807,193
"ENSMUSG00000024259.9",604,681,334,379,486,156
"ENSMUSG00000024260.14",1592,1657,938,1032,1445,398
"ENSMUSG00000024261.6",2,4,0,0,4,0
"ENSMUSG00000024266.8",0,0,0,0,0,0
"ENSMUSG00000024268.16",4,6,3,6,6,3
"ENSMUSG00000024269.11",392,371,214,159,247,68
"ENSMUSG00000024270.11",1716,1829,1075,1125,1538,408
"ENSMUSG00000024271.8",3413,3626,2112,2256,3096,827
"ENSMUSG00000024273.8",111,143,66,83,90,33
"ENSMUSG00000024274.10",140,152,86,107,143,40
"ENSMUSG00000024276.7",671,656,437,473,703,164
"ENSMUSG00000024277.14",437,419,263,289,439,109
"ENSMUSG00000024283.15",1618,1630,912,1051,1522,424
"ENSMUSG00000024286.8",372,437,185,295,358,133
"ENSMUSG00000024287.8",1215,1244,737,596,848,223
"ENSMUSG00000024290.9",6315,6403,3602,3687,5304,1466
"ENSMUSG00000024292.15",0,0,1,0,3,0
"ENSMUSG00000024293.16",763,833,493,609,814,214
"ENSMUSG00000024294.14",813,874,533,573,776,198
"ENSMUSG00000024295.9",15,11,8,4,10,1
"ENSMUSG00000024298.15",3282,3524,1942,2010,2725,770
"ENSMUSG00000024299.17",240,245,172,221,315,68
"ENSMUSG00000024300.17",507,483,359,319,484,99
"ENSMUSG00000024301.10",93,81,63,53,88,16
"ENSMUSG00000024302.16",0,1,1,0,0,4
"ENSMUSG00000024304.14",6,9,5,8,9,3
"ENSMUSG00000024306.13",0,0,0,0,0,0
"ENSMUSG00000024308.15",3868,3302,2042,1984,3426,866
"ENSMUSG00000024309.15",1649,1578,1023,840,1278,307
"ENSMUSG00000024312.10",945,879,514,448,708,189
"ENSMUSG00000024313.8",6,7,3,1,4,2
"ENSMUSG00000024317.15",437,435,258,233,341,90
"ENSMUSG00000024319.18",1939,1985,1106,1226,1746,488
"ENSMUSG00000024325.8",330,296,193,219,355,86
"ENSMUSG00000024327.16",155,163,93,98,136,38
"ENSMUSG00000024330.17",37,30,14,18,36,13
"ENSMUSG00000024331.11",88,88,50,39,57,16
"ENSMUSG00000024334.9",477,475,271,382,562,154
"ENSMUSG00000024335.20",6272,5604,3863,3132,5081,1152
"ENSMUSG00000024338.15",7724,6940,4170,4884,7980,2069
"ENSMUSG00000024339.12",8593,8334,5380,6259,9393,2265
"ENSMUSG00000024340.15",3,1,1,2,5,0
"ENSMUSG00000024346.6",761,707,439,421,663,167
"ENSMUSG00000024347.16",6,7,4,1,0,0
"ENSMUSG00000024349.10",1066,1017,586,625,959,260
"ENSMUSG00000024350.6",428,436,267,237,339,86
"ENSMUSG00000024352.12",34,40,18,26,31,12
"ENSMUSG00000024353.5",5,8,4,9,10,3
"ENSMUSG00000024354.13",0,2,0,1,1,0
"ENSMUSG00000024357.10",345,408,228,225,277,78
"ENSMUSG00000024359.10",4523,4960,2879,2997,3987,1070
"ENSMUSG00000024360.8",3310,3579,2245,2320,3138,775
"ENSMUSG00000024365.9",3,0,0,0,0,0
"ENSMUSG00000024366.8",0,5,0,0,2,1
"ENSMUSG00000024369.16",576,609,347,325,448,123
"ENSMUSG00000024370.17",1849,2034,1165,1141,1511,411
"ENSMUSG00000024371.14",57,59,23,22,33,16
"ENSMUSG00000024376.7",9,7,8,5,10,0
"ENSMUSG00000024378.9",477,522,327,386,515,127
"ENSMUSG00000024379.4",3,4,1,2,1,0
"ENSMUSG00000024381.16",1126,941,607,568,1000,243
"ENSMUSG00000024382.13",1537,1506,878,848,1264,338
"ENSMUSG00000024383.9",807,759,482,546,846,208
"ENSMUSG00000024384.4",3756,3772,2294,2018,2930,750
"ENSMUSG00000024386.9",0,0,0,0,0,0
"ENSMUSG00000024387.13",4498,4533,2921,2802,4051,976
"ENSMUSG00000024388.11",3,4,1,1,1,0
"ENSMUSG00000024391.7",1,8,5,0,0,0
"ENSMUSG00000024392.17",6122,6325,3492,3705,5227,1472
"ENSMUSG00000024393.14",5769,5326,3331,3211,5078,1266
"ENSMUSG00000024395.9",0,5,6,0,1,1
"ENSMUSG00000024397.14",154,128,94,73,129,27
"ENSMUSG00000024399.5",2088,1885,1024,2483,4073,1157
"ENSMUSG00000024400.16",3796,3911,2495,2714,3840,934
"ENSMUSG00000024401.14",33,35,12,15,20,11
"ENSMUSG00000024402.5",40,53,22,36,38,16
"ENSMUSG00000024403.16",13,13,8,3,5,1
"ENSMUSG00000024404.7",1703,1782,1029,1175,1637,441
"ENSMUSG00000024406.16",0,1,0,0,1,0
"ENSMUSG00000024409.8",7,8,4,1,6,2
"ENSMUSG00000024410.15",1583,1615,901,841,1203,336
"ENSMUSG00000024411.11",11,15,9,6,6,0
"ENSMUSG00000024413.14",3670,3844,2151,2348,3266,908
"ENSMUSG00000024414.13",163,164,119,106,153,31
"ENSMUSG00000024420.9",6,5,2,1,3,2
"ENSMUSG00000024421.16",270,265,102,120,184,75
"ENSMUSG00000024422.14",1764,1894,1074,1014,1376,378
"ENSMUSG00000024423.6",230,238,169,140,197,41
"ENSMUSG00000024424.15",13,18,8,7,6,3
"ENSMUSG00000024425.4",1657,1798,1067,1231,1655,434
"ENSMUSG00000024426.17",69,73,36,43,59,21
"ENSMUSG00000024427.7",3,3,2,5,6,2
"ENSMUSG00000024429.9",406,396,257,238,355,85
"ENSMUSG00000024430.14",9,12,10,13,15,0
"ENSMUSG00000024431.15",4654,4603,2823,2725,4016,1019
"ENSMUSG00000024436.16",258,266,163,176,248,63
"ENSMUSG00000024437.6",2,7,0,4,1,3
"ENSMUSG00000024440.13",4,5,0,0,4,0
"ENSMUSG00000024442.6",458,498,289,319,427,115
"ENSMUSG00000024446.13",574,537,271,272,431,134
"ENSMUSG00000024448.14",2,0,1,1,3,0
"ENSMUSG00000024451.9",53,37,26,18,42,10
"ENSMUSG00000024454.16",1285,1264,773,759,1125,287
"ENSMUSG00000024456.16",6369,5921,3961,4466,6976,1626
"ENSMUSG00000024457.16",380,317,191,201,360,95
"ENSMUSG00000024459.18",3,1,0,1,3,1
"ENSMUSG00000024462.17",416,436,246,355,493,137
"ENSMUSG00000024471.12",0,4,2,1,1,0
"ENSMUSG00000024472.9",617,625,446,497,714,152
"ENSMUSG00000024474.7",5363,5304,3216,3241,4779,1227
"ENSMUSG00000024477.4",868,1000,535,613,773,227
"ENSMUSG00000024479.3",1,0,0,1,1,0
"ENSMUSG00000024480.9",127,109,90,58,97,15
"ENSMUSG00000024481.5",0,4,0,2,6,0
"ENSMUSG00000024483.19",3942,4206,2408,2563,3500,952
"ENSMUSG00000024485.16",0,2,0,0,1,0
"ENSMUSG00000024486.6",4,5,1,1,1,2
"ENSMUSG00000024487.5",649,737,420,475,610,167
"ENSMUSG00000024491.16",1968,2065,982,1035,1434,467
"ENSMUSG00000024493.9",2481,2801,1682,1714,2221,575
"ENSMUSG00000024497.4",0,0,0,0,0,0
"ENSMUSG00000024498.16",2771,2918,1594,1777,2458,700
"ENSMUSG00000024500.19",1,0,0,0,0,0
"ENSMUSG00000024501.20",21,29,17,16,16,4
"ENSMUSG00000024502.10",0,2,0,3,0,0
"ENSMUSG00000024503.3",28,31,18,9,10,1
"ENSMUSG00000024505.16",114,111,74,56,84,18
"ENSMUSG00000024507.6",4044,3931,2640,2437,3643,842
"ENSMUSG00000024510.6",0,0,0,0,1,0
"ENSMUSG00000024511.15",4,3,4,1,5,0
"ENSMUSG00000024512.4",0,0,0,0,0,0
"ENSMUSG00000024513.16",1132,1131,720,670,976,238
"ENSMUSG00000024515.13",1550,1481,1043,954,1447,318
"ENSMUSG00000024516.13",1283,1390,824,853,1148,301
"ENSMUSG00000024517.17",8,6,5,0,5,0
"ENSMUSG00000024518.4",0,0,0,0,0,0
"ENSMUSG00000024519.6",0,0,0,0,0,0
"ENSMUSG00000024521.8",41,38,20,15,26,9
"ENSMUSG00000024524.17",14,28,17,20,14,3
"ENSMUSG00000024525.7",661,680,442,487,690,164
"ENSMUSG00000024526.9",4,11,1,7,3,0
"ENSMUSG00000024527.10",1140,1009,661,640,1056,252
"ENSMUSG00000024528.8",1158,1074,727,672,1053,242
"ENSMUSG00000024529.14",22,32,15,21,21,8
"ENSMUSG00000024530.8",0,0,0,0,1,0
"ENSMUSG00000024532.13",0,0,0,0,0,0
"ENSMUSG00000024533.17",8,11,5,5,4,3
"ENSMUSG00000024534.15",0,0,0,0,1,0
"ENSMUSG00000024535.16",0,2,0,0,1,0
"ENSMUSG00000024537.5",947,1054,595,616,806,223
"ENSMUSG00000024538.8",88,70,56,30,57,9
"ENSMUSG00000024539.17",1091,1112,693,760,1085,271
"ENSMUSG00000024542.9",2902,3190,1949,1910,2540,646
"ENSMUSG00000024544.9",1231,1247,722,940,1352,364
"ENSMUSG00000024546.6",0,0,0,1,2,0
"ENSMUSG00000024548.11",11,12,10,5,6,0
"ENSMUSG00000024552.16",0,0,1,0,0,1
"ENSMUSG00000024553.8",0,0,0,1,0,0
"ENSMUSG00000024556.4",2183,2245,1468,1722,2441,578
"ENSMUSG00000024558.12",0,2,2,0,0,0
"ENSMUSG00000024560.7",1749,1615,1092,1009,1586,365
"ENSMUSG00000024561.11",1608,1544,993,947,1437,348
"ENSMUSG00000024563.16",1945,2036,1264,1213,1690,423
"ENSMUSG00000024565.10",0,2,1,0,1,0
"ENSMUSG00000024566.10",981,1076,614,857,1139,312
"ENSMUSG00000024570.7",530,478,316,266,430,102
"ENSMUSG00000024571.15",493,514,335,362,506,120
"ENSMUSG00000024575.16",15,14,9,1,3,0
"ENSMUSG00000024576.14",8009,8257,4860,5050,7141,1888
"ENSMUSG00000024578.3",0,1,0,0,0,0
"ENSMUSG00000024579.7",24,37,19,38,37,12
"ENSMUSG00000024580.8",153,145,79,79,123,36
"ENSMUSG00000024581.13",706,588,393,373,656,154
"ENSMUSG00000024583.3",2485,2468,1797,1761,2576,543
"ENSMUSG00000024587.10",3173,3097,2064,1859,2769,645
"ENSMUSG00000024588.9",386,410,253,241,330,83
"ENSMUSG00000024589.18",1477,1498,883,947,1361,360
"ENSMUSG00000024590.8",18870,18054,11238,10097,15386,3850
"ENSMUSG00000024592.15",67,62,34,39,62,18
"ENSMUSG00000024593.15",0,0,2,0,1,0
"ENSMUSG00000024594.9",342,353,215,199,281,72
"ENSMUSG00000024597.11",450,577,286,259,290,94
"ENSMUSG00000024598.9",17,12,7,8,18,6
"ENSMUSG00000024600.8",128,117,71,76,122,32
"ENSMUSG00000024601.9",1185,1130,765,1102,1677,385
"ENSMUSG00000024603.8",1776,1810,1029,1158,1656,454
"ENSMUSG00000024604.7",2890,2980,1749,2019,2855,757
"ENSMUSG00000024608.11",1936,2053,1159,1216,1670,461
"ENSMUSG00000024610.15",13933,15881,10515,8465,10957,2545
"ENSMUSG00000024613.16",8363,7741,4669,4090,6467,1670
"ENSMUSG00000024614.7",3011,3154,1977,1647,2293,568
"ENSMUSG00000024617.16",443,507,223,329,412,147
"ENSMUSG00000024619.8",0,1,2,0,2,0
"ENSMUSG00000024620.11",278,358,185,330,374,115
"ENSMUSG00000024621.16",639,641,389,361,525,134
"ENSMUSG00000024622.8",663,630,355,365,563,157
"ENSMUSG00000024639.5",78,99,53,102,118,34
"ENSMUSG00000024640.9",1795,2030,1187,1191,1538,410
"ENSMUSG00000024642.17",1006,918,533,569,917,247
"ENSMUSG00000024644.17",1133,1130,690,640,936,239
"ENSMUSG00000024645.5",426,461,318,268,362,78
"ENSMUSG00000024646.14",7714,7465,4412,4374,6602,1738
"ENSMUSG00000024647.14",0,1,0,0,0,0
"ENSMUSG00000024650.5",0,0,0,0,0,0
"ENSMUSG00000024653.2",10,5,4,1,7,1
"ENSMUSG00000024654.8",710,663,414,394,617,154
"ENSMUSG00000024658.7",3,1,0,0,0,0
"ENSMUSG00000024659.15",405,469,315,379,484,109
"ENSMUSG00000024660.9",4082,4257,2774,2610,3652,868
"ENSMUSG00000024661.7",3020,3175,2234,2575,3582,782
"ENSMUSG00000024663.20",14,18,13,18,20,4
"ENSMUSG00000024664.5",25,21,13,6,13,4
"ENSMUSG00000024665.8",600,795,370,504,543,187
"ENSMUSG00000024666.6",185,246,154,184,207,50
"ENSMUSG00000024667.12",67,74,45,48,63,16
"ENSMUSG00000024668.8",1163,1115,736,681,1033,243
"ENSMUSG00000024669.8",8423,7887,4460,5571,8737,2396
"ENSMUSG00000024670.17",4286,3846,2112,2371,3918,1103
"ENSMUSG00000024672.11",73,97,49,49,52,17
"ENSMUSG00000024673.9",81,161,99,116,94,20
"ENSMUSG00000024675.19",85,130,74,91,88,23
"ENSMUSG00000024677.13",1301,1338,840,1096,1553,384
"ENSMUSG00000024678.6",9,16,7,8,4,3
"ENSMUSG00000024679.10",48,46,38,28,41,5
"ENSMUSG00000024680.12",0,0,1,3,4,0
"ENSMUSG00000024681.11",9,1,1,7,21,5
"ENSMUSG00000024682.3",0,0,0,0,0,0
"ENSMUSG00000024683.6",431,474,283,318,421,110
"ENSMUSG00000024687.11",2981,2801,1603,1447,2260,614
"ENSMUSG00000024691.13",1391,1660,1142,1115,1391,306
"ENSMUSG00000024694.9",0,0,0,0,0,0
"ENSMUSG00000024695.16",75,85,42,44,56,19
"ENSMUSG00000024696.9",957,1014,516,1045,1434,437
"ENSMUSG00000024697.4",4,9,4,6,4,1
"ENSMUSG00000024712.9",300,282,174,181,282,72
"ENSMUSG00000024713.16",8,11,7,5,5,0
"ENSMUSG00000024725.13",1696,1648,1020,1177,1765,444
"ENSMUSG00000024726.10",34,28,23,21,36,6
"ENSMUSG00000024727.9",14,12,7,0,3,1
"ENSMUSG00000024728.13",0,0,0,0,0,0
"ENSMUSG00000024729.7",0,0,0,0,0,0
"ENSMUSG00000024730.7",5,4,3,0,4,1
"ENSMUSG00000024731.15",2,4,0,0,1,0
"ENSMUSG00000024732.7",328,333,224,199,285,65
"ENSMUSG00000024734.8",2,5,0,0,0,0
"ENSMUSG00000024735.13",3519,3625,2058,2250,3185,873
"ENSMUSG00000024736.15",46,51,32,16,20,5
"ENSMUSG00000024737.2",80,91,48,52,65,21
"ENSMUSG00000024738.6",1,0,0,0,1,1
"ENSMUSG00000024740.10",16217,17208,9776,10068,13826,3788
"ENSMUSG00000024742.15",3146,3276,2114,2002,2805,674
"ENSMUSG00000024743.16",10,4,0,5,4,0
"ENSMUSG00000024747.3",3,6,0,0,4,0
"ENSMUSG00000024749.9",1,0,0,0,1,1
