"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT745441","mmu","mmu","mmu-miR-181b","Zfp689","0","0","0","0","0","0","0","1","1","1"
"MIRT745442","mmu","mmu","mmu-miR-181a","Zfp689","0","0","0","0","0","0","0","1","1","1"
"MIRT752824","mmu","mmu","mmu-miR-181a","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT752825","mmu","mmu","mmu-miR-181c","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT752826","mmu","mmu","mmu-miR-181d","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT752827","mmu","mmu","mmu-miR-181b","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT743522","mmu","mmu","mmu-miR-181a","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT743523","mmu","mmu","mmu-miR-181d","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT743524","mmu","mmu","mmu-miR-181b","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT743525","mmu","mmu","mmu-miR-181c","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT750709","mmu","mmu","mmu-miR-181c","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT750710","mmu","mmu","mmu-miR-181d","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT750711","mmu","mmu","mmu-miR-181b","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT750712","mmu","mmu","mmu-miR-181a","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT751188","mmu","mmu","mmu-miR-181b","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT751189","mmu","mmu","mmu-miR-181a","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT751190","mmu","mmu","mmu-miR-181c","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT751191","mmu","mmu","mmu-miR-181d","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT752962","mmu","mmu","mmu-miR-181a","Sgpp1","0","0","0","0","0","0","0","1","1","1"
"MIRT752963","mmu","mmu","mmu-miR-181b","Sgpp1","0","0","0","0","0","0","0","1","1","1"
"MIRT752964","mmu","mmu","mmu-miR-181d","Sgpp1","0","0","0","0","0","0","0","1","1","1"
"MIRT752965","mmu","mmu","mmu-miR-181c","Sgpp1","0","0","0","0","0","0","0","1","1","1"
"MIRT746121","mmu","mmu","mmu-miR-181a","Clmn","0","0","0","0","0","0","0","1","1","1"
"MIRT746122","mmu","mmu","mmu-miR-181c","Clmn","0","0","0","0","0","0","0","1","1","1"
"MIRT746123","mmu","mmu","mmu-miR-181b","Clmn","0","0","0","0","0","0","0","1","1","1"
"MIRT746124","mmu","mmu","mmu-miR-181d","Clmn","0","0","0","0","0","0","0","1","1","1"
"MIRT746060","mmu","mmu","mmu-miR-181c","Adamts9","0","0","0","0","0","0","0","1","1","2"
"MIRT746061","mmu","mmu","mmu-miR-181d","Adamts9","0","0","0","0","0","0","0","1","1","2"
"MIRT746062","mmu","mmu","mmu-miR-181b","Adamts9","0","0","0","0","0","0","0","1","1","2"
"MIRT746063","mmu","mmu","mmu-miR-181a","Adamts9","0","0","0","0","0","0","0","1","1","2"
"MIRT743712","mmu","mmu","mmu-miR-181d","BC031781","0","0","0","0","0","0","0","1","1","3"
"MIRT743713","mmu","mmu","mmu-miR-181a","BC031781","0","0","0","0","0","0","0","1","1","3"
"MIRT743714","mmu","mmu","mmu-miR-181c","BC031781","0","0","0","0","0","0","0","1","1","3"
"MIRT743715","mmu","mmu","mmu-miR-181b","BC031781","0","0","0","0","0","0","0","1","1","3"
"MIRT746281","mmu","mmu","mmu-miR-181c","Itpk1","0","0","0","0","0","0","0","1","1","1"
"MIRT746282","mmu","mmu","mmu-miR-181b","Itpk1","0","0","0","0","0","0","0","1","1","1"
"MIRT746283","mmu","mmu","mmu-miR-181a","Itpk1","0","0","0","0","0","0","0","1","1","1"
"MIRT746284","mmu","mmu","mmu-miR-181d","Itpk1","0","0","0","0","0","0","0","1","1","1"
"MIRT742695","mmu","mmu","mmu-miR-181b","Fam160b2","0","0","0","0","0","0","0","1","1","5"
"MIRT742696","mmu","mmu","mmu-miR-181c","Fam160b2","0","0","0","0","0","0","0","1","1","5"
"MIRT742697","mmu","mmu","mmu-miR-181d","Fam160b2","0","0","0","0","0","0","0","1","1","5"
"MIRT742698","mmu","mmu","mmu-miR-181a","Fam160b2","0","0","0","0","0","0","0","1","1","5"
"MIRT751653","mmu","mmu","mmu-miR-181b","Fam69c","0","0","0","0","0","0","0","1","1","1"
"MIRT751654","mmu","mmu","mmu-miR-181a","Fam69c","0","0","0","0","0","0","0","1","1","1"
"MIRT751655","mmu","mmu","mmu-miR-181c","Fam69c","0","0","0","0","0","0","0","1","1","1"
"MIRT751656","mmu","mmu","mmu-miR-181d","Fam69c","0","0","0","0","0","0","0","1","1","1"
"MIRT752320","mmu","mmu","mmu-miR-181a","Bnc2","0","0","0","0","0","0","0","1","1","1"
"MIRT752321","mmu","mmu","mmu-miR-181d","Bnc2","0","0","0","0","0","0","0","1","1","1"
"MIRT752322","mmu","mmu","mmu-miR-181b","Bnc2","0","0","0","0","0","0","0","1","1","1"
"MIRT752323","mmu","mmu","mmu-miR-181c","Bnc2","0","0","0","0","0","0","0","1","1","1"
"MIRT749763","mmu","mmu","mmu-miR-181c","Ptchd2","0","0","0","0","0","0","0","1","1","2"
"MIRT749764","mmu","mmu","mmu-miR-181a","Ptchd2","0","0","0","0","0","0","0","1","1","2"
"MIRT749765","mmu","mmu","mmu-miR-181d","Ptchd2","0","0","0","0","0","0","0","1","1","2"
"MIRT749766","mmu","mmu","mmu-miR-181b","Ptchd2","0","0","0","0","0","0","0","1","1","2"
