,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,gene_symbol
1,2354.32197704016,-0.0756002500650507,0.133648533284456,-0.5656646444757,0.571621773937446,0.927776019502449,ENSMUSG00000000001.4,Gnai3
2,579.239857899578,-0.0678457607053689,0.161742015454999,-0.419468995205179,0.674873409399054,0.951232928633372,ENSMUSG00000000028.15,Cdc45
3,20.3333017558094,-0.0245396764480326,0.587497371615475,-0.041769848911076,0.966682171110328,0.996408339745111,ENSMUSG00000000037.17,Scml2
4,1154.16637672095,-0.0531422671685974,0.135968326488528,-0.390842989253685,0.695913296530191,0.95420628633716,ENSMUSG00000000056.7,Narf
5,635.563887207502,0.36967194268318,0.136447301818817,2.70926531895848,0.00674323914341343,0.288680857419263,ENSMUSG00000000078.7,Klf6
6,378.206910504602,0.105676500793137,0.165349547564753,0.639109706373721,0.522751565961383,0.914353095030343,ENSMUSG00000000085.16,Scmh1
7,794.692815562199,-0.35200285918878,0.152662962167109,-2.30575153391474,0.0211245197569734,0.438532975111125,ENSMUSG00000000088.7,Cox5a
8,20.6727931563938,0.660851350726913,0.496404441992364,1.33127606206448,0.183098191784454,0.748831710229482,ENSMUSG00000000127.15,Fer
9,1699.74872395718,-0.00943756172677859,0.0891072077073278,-0.105912439291962,0.915651824454807,0.988240891353016,ENSMUSG00000000131.15,Xpo6
10,97.8860348700212,0.125217008748487,0.243218173842601,0.5148340963596,0.606668956895696,0.932082066245435,ENSMUSG00000000134.17,Tfe3
11,236.518770497231,0.0672792821671373,0.211695994074523,0.31781084219975,0.750628425899154,0.964945305803017,ENSMUSG00000000142.15,Axin2
12,342.432223612771,0.19855391144058,0.155732212244333,1.27497008216298,0.202319831566719,0.768243874616566,ENSMUSG00000000148.17,Brat1
13,127.002163157997,0.139011258344435,0.222856966470054,0.623768960631143,0.532779326937497,0.916916734330893,ENSMUSG00000000149.10,Gna12
14,399.082698899799,-0.328290641854666,0.153156736790183,-2.14349462344845,0.0320734023495603,0.494211972189032,ENSMUSG00000000168.9,Dlat
15,530.16788454483,0.240506057527564,0.167139901872259,1.4389505727446,0.150164527350153,0.728154128993623,ENSMUSG00000000171.5,Sdhd
16,1361.93158619047,0.122244850625028,0.169847377566565,0.719733518270656,0.471689084770238,0.898971176958016,ENSMUSG00000000184.12,Ccnd2
17,791.095831625025,-0.0793979011429132,0.116409103191626,-0.682059211573968,0.495201510718635,0.909809906560805,ENSMUSG00000000194.13,Gpr107
18,516.942149016773,0.405852542125849,0.645000771236554,0.629227995104215,0.52919980355089,0.915441556269139,ENSMUSG00000000244.17,Tspan32
19,40.6755310242166,0.324875139326941,0.426424480156955,0.761858557480948,0.446144426659207,0.892117309689554,ENSMUSG00000000253.13,Gmpr
20,1599.21008222728,0.0312586852343633,0.101259605132467,0.308698470564556,0.757550907358556,0.965267128566731,ENSMUSG00000000275.16,Trim25
21,2504.40315111683,-0.299337481788294,0.103073466648278,-2.90411772808355,0.00368289645150634,0.231960054471145,ENSMUSG00000000276.11,Dgke
22,77.2237384183339,0.260846077301,0.29277565632916,0.890941824096666,0.372960381068921,0.862080087525071,ENSMUSG00000000278.10,Scpep1
23,280.501427666116,-0.165771840367418,0.173966190256342,-0.952896882567531,0.340642319754297,0.848968415461914,ENSMUSG00000000282.12,Mnt
24,4578.74812893301,0.093101721495397,0.14051769376774,0.662562265285137,0.5076109442987,0.911688789355107,ENSMUSG00000000290.13,Itgb2
25,150.492471815897,-0.520398955758502,0.217167189624843,-2.39630561438629,0.0165612752676338,0.40487959799031,ENSMUSG00000000295.13,Hddc2
26,142.577858761522,0.0431901429218582,0.237411154033975,0.181921287976543,0.855644497872608,0.979233524460954,ENSMUSG00000000303.12,Cdh1
27,44.8444290842134,0.144106451704781,0.379534250848596,0.379692877210884,0.704173408081219,0.956066808073001,ENSMUSG00000000325.16,Arvcf
28,19.7591195285276,0.436681509980084,0.535587153280678,0.815332308299855,0.414882120026493,0.87838860602189,ENSMUSG00000000326.13,Comt
29,215.62769756217,-0.245289502834678,0.168837345738423,-1.45281544057617,0.146275003702477,0.723903371796193,ENSMUSG00000000339.14,Rtca
30,331.172389098452,0.096524814964714,0.173174397391416,0.557385020064743,0.577264398072028,0.929089534715356,ENSMUSG00000000340.10,Dbt
31,884.309197009763,0.0296654174658306,0.219007313767453,0.135454003592456,0.892252928826769,0.984487164270871,ENSMUSG00000000346.9,Dazap2
32,402.032104971021,-0.12914559146372,0.167291085670989,-0.771981309976737,0.440125497221464,0.891648849586828,ENSMUSG00000000355.13,Mcts1
33,737.802405770586,-0.0404311034997352,0.115210175449223,-0.35093344265893,0.725638281477095,0.959377202371725,ENSMUSG00000000374.8,Trappc10
34,1736.53971599286,-0.1666296723491,0.120155762059712,-1.38678053796781,0.16550869338803,0.736156342724986,ENSMUSG00000000378.15,Ccm2
35,332.178236926167,-0.216948483315314,0.150495461512326,-1.44156163338883,0.149426078434697,0.727686752533687,ENSMUSG00000000384.15,Tbrg4
36,26.1041530523297,-0.153317659572067,0.518272929206339,-0.295824170880101,0.767364363021888,0.9675080280959,ENSMUSG00000000386.16,Mx1
37,948.69759697487,0.286833984751325,0.117594281554953,2.43918310447167,0.0147205073145825,0.385221163246398,ENSMUSG00000000399.10,Ndufa9
38,7498.49674047553,0.00284715646279485,0.0996264407678452,0.0285783215866303,0.977200901889604,0.998162541748713,ENSMUSG00000000409.14,Lck
39,1259.80525601591,-0.0841739902333827,0.101300222811267,-0.830935884417621,0.406009850471992,0.873277602365766,ENSMUSG00000000420.15,Galnt1
