"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710","LFCandPADJSig","gene_symbol"
"1","ENSMUSG00000104197.1",2009.89773980101,2.74182959954952,0.102457596106229,26.7606278475125,9.28805063555944e-158,1.18394781451476e-153,487.521654621648,474.58742106665,405.846462370296,3338.70766382977,3428.52627031891,3924.1969665988,"Significant up","Gm37632"
"2","ENSMUSG00000004110.17",1028.70696192156,-2.01924079936834,0.0991424671346062,-20.3670622461595,3.27759391814904e-92,2.08897448373229e-88,1576.25173626621,1737.4573578065,1739.72258158295,400.456025308012,357.042789165387,361.311281400302,"Significant down","Cacna1e"
"3","ENSMUSG00000027669.14",648.18700916525,1.90581460376546,0.100650409228581,18.9349911080568,5.87255858240542e-80,2.49525014166406e-76,248.881853094665,252.573987347971,252.210930663379,1048.36365116013,1043.66353756036,1043.428095165,"Significant up","Gnb4"
"4","ENSMUSG00000098206.1",4004.62855926141,2.14807608598796,0.128897383163856,16.6650092753031,2.35452075822473e-62,7.50326902627265e-59,1449.25029682696,1259.27457748935,985.753989564614,5751.83300501366,6644.96302057803,7936.69646609587,"Significant up","A430106G13Rik"
"5","ENSMUSG00000004552.16",516.710046830419,-2.25219523362973,0.13648248432814,-16.5017162804193,3.56611089542924e-61,9.09144311680729e-58,872.62279356648,1026.47506601915,777.946391764506,148.282065974901,112.91096751384,162.022996143633,"Significant down","Ctse"
"6","ENSMUSG00000069306.5",68.0717620022857,2.76363806237488,0.19108028763924,14.4632295487886,2.06859444301295e-47,4.39472889418102e-44,2.04841031353634,0,0.888066657265418,123.725800272051,146.479092990928,135.289201779934,"Significant up","Hist1h4m"
"7","ENSMUSG00000015656.17",479.495020782464,-2.17353463139899,0.151978175096015,-14.3016234405092,2.13764041444174e-46,3.89264319469841e-43,976.067514400065,648.063504903512,864.976924176517,103.891893358211,163.263155729472,120.707132127007,"Significant down","Hspa8"
"8","ENSMUSG00000105703.2",67.6144313614159,2.70920848523956,0.190799810677,14.1992199867845,9.26377788880828e-46,1.47606720935799e-42,2.04841031353634,2.69651943787869,0,125.614743787655,132.746678023028,142.580236606397,"Significant up","Gm43305"
"9","ENSMUSG00000100801.1",71.1009681301541,2.62762040667751,0.189798263789559,13.8442805229816,1.37753099440556e-43,1.95104306507641e-40,4.09682062707267,0.89883981262623,4.44033328632709,129.392630818862,154.108212417539,133.668971818497,"Significant up","Gm15459"
"10","ENSMUSG00000046480.6",224.038133434094,-2.12125151400097,0.159401679042029,-13.3075857591291,2.09130769338619e-40,2.66578991675938e-37,439.384012253544,317.290453857059,409.398728999358,49.1125314056996,74.7653703807861,54.2777037081171,"Significant down","Scn4b"
"11","ENSMUSG00000028763.18",164.209825072364,-2.03017553493414,0.153823401285469,-13.1980928647293,8.99844403455636e-40,1.04275605553173e-36,287.801649051855,288.52757985302,266.419997179625,47.2235878900958,44.2488926743428,51.0372437852445,"Significant down","Hspg2"
"12","ENSMUSG00000103427.1",15255.2999805263,1.60196590259892,0.122863419047481,13.0385912667776,7.38081856972402e-39,7.84027452568934e-36,7728.6521129726,7139.48463169015,5477.5951420131,20864.3256016021,22536.4187862084,27785.3236086717,"Significant up","Gm37534"
