"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000000686.11",132,134,157,171,120,193
"ENSMUSG00000000690.5",0,0,0,0,0,0
"ENSMUSG00000000693.10",0,5,6,0,6,3
"ENSMUSG00000000701.8",0,0,0,0,0,0
"ENSMUSG00000000706.16",1,1,1,0,2,3
"ENSMUSG00000000708.14",588,622,554,659,439,922
"ENSMUSG00000000711.3",257,291,247,240,148,330
"ENSMUSG00000000724.10",0,1,0,0,0,0
"ENSMUSG00000000730.13",0,5,1,0,0,0
"ENSMUSG00000000731.15",23,23,28,20,15,22
"ENSMUSG00000000732.9",22,34,41,35,17,26
"ENSMUSG00000000738.18",352,476,484,455,237,449
"ENSMUSG00000000739.14",1,1,1,0,0,0
"ENSMUSG00000000740.12",239,249,272,258,176,305
"ENSMUSG00000000743.9",263,353,327,308,159,336
"ENSMUSG00000000751.13",1134,1361,1554,1634,968,1581
"ENSMUSG00000000753.15",1,3,2,4,0,4
"ENSMUSG00000000759.14",591,765,767,803,435,835
"ENSMUSG00000000766.18",0,0,0,0,1,2
"ENSMUSG00000000776.13",63,70,72,59,39,72
"ENSMUSG00000000782.16",13634,14433,15081,11453,7650,13885
"ENSMUSG00000000787.12",2985,3328,3308,3390,2144,4104
"ENSMUSG00000000791.9",41,31,29,19,20,38
"ENSMUSG00000000792.2",1,1,1,2,0,0
"ENSMUSG00000000794.9",1,0,3,1,1,1
"ENSMUSG00000000804.14",544,642,500,554,324,781
"ENSMUSG00000000805.18",0,1,0,1,1,1
"ENSMUSG00000000811.13",7,8,8,6,4,8
"ENSMUSG00000000817.10",4,4,4,2,1,3
"ENSMUSG00000000823.16",547,645,680,606,364,656
"ENSMUSG00000000826.16",1825,2020,1963,1823,1161,2270
"ENSMUSG00000000827.18",291,308,331,286,192,337
"ENSMUSG00000000838.17",917,1136,886,1077,598,1457
"ENSMUSG00000000861.15",36,61,62,56,23,44
"ENSMUSG00000000869.12",0,0,1,1,1,0
"ENSMUSG00000000876.11",245,251,286,258,179,297
"ENSMUSG00000000881.12",239,245,272,249,172,293
"ENSMUSG00000000884.17",52,73,88,71,36,55
"ENSMUSG00000000889.8",0,0,1,0,0,0
"ENSMUSG00000000901.17",17,15,10,7,6,16
"ENSMUSG00000000902.13",468,519,616,553,355,556
"ENSMUSG00000000903.3",1,0,3,1,1,0
"ENSMUSG00000000915.15",68,79,104,80,50,67
"ENSMUSG00000000916.15",105,116,133,117,75,123
"ENSMUSG00000000934.9",14,21,20,13,5,12
"ENSMUSG00000000938.11",0,0,0,0,0,0
"ENSMUSG00000000942.10",4,5,4,3,0,3
"ENSMUSG00000000948.16",1,1,1,0,1,1
"ENSMUSG00000000957.11",45,42,58,33,27,34
"ENSMUSG00000000958.10",9,12,11,12,7,13
"ENSMUSG00000000959.7",316,343,373,316,207,360
"ENSMUSG00000000976.13",312,392,349,339,187,408
"ENSMUSG00000000982.5",0,0,1,0,1,0
"ENSMUSG00000000983.13",7,6,7,5,4,6
"ENSMUSG00000001014.6",0,0,0,0,0,0
"ENSMUSG00000001016.12",581,648,659,630,398,745
"ENSMUSG00000001017.15",978,1110,1051,1140,706,1420
"ENSMUSG00000001018.15",95,77,78,64,57,104
"ENSMUSG00000001020.8",1,1,1,4,3,4
"ENSMUSG00000001021.13",2,3,1,2,1,1
"ENSMUSG00000001023.10",0,0,0,0,0,0
"ENSMUSG00000001025.8",13,13,17,15,11,15
"ENSMUSG00000001027.7",3,3,5,7,6,7
"ENSMUSG00000001029.15",219,311,293,305,148,311
"ENSMUSG00000001034.17",195,228,246,215,131,229
"ENSMUSG00000001036.17",13,13,11,7,5,12
"ENSMUSG00000001039.12",3,6,7,5,0,1
"ENSMUSG00000001052.15",903,963,882,895,592,1215
"ENSMUSG00000001053.15",106,135,173,140,79,109
"ENSMUSG00000001054.9",149,184,201,181,104,180
"ENSMUSG00000001056.3",96,106,135,115,75,108
"ENSMUSG00000001062.18",148,185,208,169,97,161
"ENSMUSG00000001065.15",386,433,517,492,313,488
"ENSMUSG00000001076.7",0,0,0,0,0,0
"ENSMUSG00000001082.12",63,69,94,70,46,60
"ENSMUSG00000001089.14",76,117,99,76,31,79
"ENSMUSG00000001095.5",0,0,2,0,0,1
"ENSMUSG00000001098.15",397,484,508,421,243,442
"ENSMUSG00000001100.10",137,147,182,135,90,134
"ENSMUSG00000001103.7",0,0,0,0,0,0
"ENSMUSG00000001105.15",132,174,153,155,81,182
"ENSMUSG00000001119.7",35,26,42,21,21,23
"ENSMUSG00000001120.15",56,65,69,40,24,44
"ENSMUSG00000001123.15",739,780,909,701,470,759
"ENSMUSG00000001127.12",468,584,524,584,326,702
"ENSMUSG00000001128.7",39,51,62,64,36,54
"ENSMUSG00000001131.11",0,0,2,3,3,2
"ENSMUSG00000001134.9",33,35,27,27,17,42
"ENSMUSG00000001138.13",300,408,424,426,220,406
"ENSMUSG00000001143.13",1099,1259,1379,1199,741,1277
"ENSMUSG00000001150.7",1046,1189,1368,1201,751,1220
"ENSMUSG00000001151.10",1659,1938,2424,2465,1507,2178
"ENSMUSG00000001155.13",0,0,0,0,0,0
"ENSMUSG00000001156.9",461,450,517,459,333,549
"ENSMUSG00000001157.13",554,622,561,553,345,726
"ENSMUSG00000001158.13",141,165,171,166,100,185
"ENSMUSG00000001166.17",31,38,42,45,26,45
"ENSMUSG00000001168.16",0,1,0,0,0,0
"ENSMUSG00000001173.15",99,133,109,111,55,135
"ENSMUSG00000001175.15",1781,1963,1971,2096,1342,2541
"ENSMUSG00000001211.15",813,914,1078,1022,647,1021
"ENSMUSG00000001225.12",0,0,0,1,0,0
"ENSMUSG00000001227.12",9,8,11,4,3,4
"ENSMUSG00000001228.14",1064,1234,1588,1269,782,1085
"ENSMUSG00000001229.9",366,455,522,389,222,359
"ENSMUSG00000001240.13",1,3,0,0,1,0
"ENSMUSG00000001247.16",8,11,15,9,6,6
"ENSMUSG00000001248.15",1869,2057,2366,2451,1580,2577
"ENSMUSG00000001249.14",0,1,1,1,2,0
"ENSMUSG00000001260.10",0,0,0,0,0,0
"ENSMUSG00000001270.9",38,39,39,15,10,20
"ENSMUSG00000001280.13",2108,2412,2046,2056,1255,2790
"ENSMUSG00000001281.10",332,289,409,229,185,244
"ENSMUSG00000001285.12",126,111,107,78,65,124
"ENSMUSG00000001288.15",33,31,36,13,11,16
"ENSMUSG00000001289.12",361,409,452,352,220,377
"ENSMUSG00000001300.16",16,15,23,16,13,15
"ENSMUSG00000001305.5",105,122,135,98,60,102
"ENSMUSG00000001313.12",5,6,9,4,3,2
"ENSMUSG00000001323.17",90,109,88,87,49,117
"ENSMUSG00000001333.9",0,0,0,0,0,0
"ENSMUSG00000001334.9",0,0,1,1,0,0
"ENSMUSG00000001348.15",332,330,404,212,151,231
"ENSMUSG00000001349.5",0,1,0,0,0,0
"ENSMUSG00000001366.14",401,400,401,353,251,473
"ENSMUSG00000001376.17",252,327,257,240,125,311
"ENSMUSG00000001380.7",304,369,400,331,192,336
"ENSMUSG00000001383.9",305,327,401,353,235,356
"ENSMUSG00000001403.13",240,264,240,227,145,303
"ENSMUSG00000001415.10",715,907,960,860,479,860
"ENSMUSG00000001416.13",830,924,968,904,574,1041
"ENSMUSG00000001418.13",233,229,278,208,150,232
"ENSMUSG00000001419.17",2611,2809,3238,2335,1538,2508
"ENSMUSG00000001420.13",9,11,5,1,0,7
"ENSMUSG00000001424.14",831,1063,1090,1008,555,1035
"ENSMUSG00000001435.15",7,11,19,14,8,6
"ENSMUSG00000001436.15",89,96,117,78,52,79
