"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000035285.6",22,24,37,44,30,35
"ENSMUSG00000035293.13",635,812,650,856,460,1107
"ENSMUSG00000035295.10",17,20,12,12,6,21
"ENSMUSG00000035296.14",0,0,0,0,0,0
"ENSMUSG00000035297.14",350,463,388,421,217,509
"ENSMUSG00000035298.8",0,2,1,1,0,0
"ENSMUSG00000035299.16",5,6,9,10,6,7
"ENSMUSG00000035305.5",0,4,2,3,0,2
"ENSMUSG00000035310.15",267,304,255,258,158,355
"ENSMUSG00000035311.16",362,399,390,361,232,451
"ENSMUSG00000035314.10",11,16,15,15,7,15
"ENSMUSG00000035325.16",578,716,667,714,402,834
"ENSMUSG00000035329.7",239,262,209,260,166,383
"ENSMUSG00000035337.3",6,6,5,3,1,5
"ENSMUSG00000035342.14",19,31,35,30,13,22
"ENSMUSG00000035351.16",69,77,64,68,42,97
"ENSMUSG00000035352.3",1,3,0,5,4,0
"ENSMUSG00000035354.9",928,1177,1216,1203,669,1236
"ENSMUSG00000035355.15",2,1,1,2,0,1
"ENSMUSG00000035356.17",271,286,241,316,211,463
"ENSMUSG00000035357.17",0,5,1,0,1,2
"ENSMUSG00000035365.15",111,146,134,161,85,182
"ENSMUSG00000035367.9",213,256,237,236,137,285
"ENSMUSG00000035370.9",24,28,42,41,26,30
"ENSMUSG00000035371.8",0,0,0,0,0,0
"ENSMUSG00000035372.2",19,14,21,11,11,12
"ENSMUSG00000035373.2",0,1,0,0,0,2
"ENSMUSG00000035376.10",40,58,51,39,17,40
"ENSMUSG00000035378.17",60,77,77,64,35,68
"ENSMUSG00000035382.9",481,555,609,516,317,546
"ENSMUSG00000035383.7",0,0,0,0,0,0
"ENSMUSG00000035385.5",0,2,0,0,2,0
"ENSMUSG00000035387.5",0,0,0,0,0,0
"ENSMUSG00000035390.16",3,3,1,0,1,1
"ENSMUSG00000035392.17",804,1024,779,871,466,1173
"ENSMUSG00000035394.11",7,9,6,8,4,12
"ENSMUSG00000035395.11",0,0,0,0,0,0
"ENSMUSG00000035397.8",55,65,71,59,35,62
"ENSMUSG00000035399.12",27,29,28,33,22,42
"ENSMUSG00000035401.9",1369,1512,1290,1357,862,1891
"ENSMUSG00000035403.10",0,4,1,0,1,1
"ENSMUSG00000035407.8",0,0,0,1,0,0
"ENSMUSG00000035413.8",6,5,4,0,2,5
"ENSMUSG00000035420.7",0,0,0,0,0,0
"ENSMUSG00000035427.18",0,0,0,0,0,0
"ENSMUSG00000035429.13",0,1,2,0,0,0
"ENSMUSG00000035431.4",0,0,0,0,0,0
"ENSMUSG00000035435.17",0,0,0,1,0,0
"ENSMUSG00000035437.15",766,874,804,838,515,1066
"ENSMUSG00000035439.13",135,164,184,131,76,127
"ENSMUSG00000035441.14",4,6,7,7,3,5
"ENSMUSG00000035443.10",58,84,77,85,40,88
"ENSMUSG00000035448.9",5,1,1,3,4,6
"ENSMUSG00000035451.7",0,2,0,1,0,0
"ENSMUSG00000035454.1",0,0,0,0,0,0
"ENSMUSG00000035455.12",226,367,309,349,142,354
"ENSMUSG00000035456.9",0,0,0,0,0,0
"ENSMUSG00000035458.15",4,2,3,0,3,3
"ENSMUSG00000035459.18",6,10,10,10,4,8
"ENSMUSG00000035469.17",348,469,418,421,215,475
"ENSMUSG00000035472.14",0,0,0,0,0,0
"ENSMUSG00000035473.10",46,59,50,52,27,64
"ENSMUSG00000035476.9",206,246,184,231,133,332
"ENSMUSG00000035478.14",520,525,702,526,369,505
"ENSMUSG00000035486.14",0,0,0,0,0,0
"ENSMUSG00000035491.5",0,0,0,0,0,0
"ENSMUSG00000035493.10",35,49,44,38,18,40
"ENSMUSG00000035495.15",315,383,380,404,233,451
"ENSMUSG00000035498.10",15,17,19,13,8,13
"ENSMUSG00000035504.16",0,0,0,0,0,0
"ENSMUSG00000035505.14",75,110,98,78,35,80
"ENSMUSG00000035506.16",1,2,3,3,1,1
"ENSMUSG00000035509.17",3,4,4,3,1,3
"ENSMUSG00000035513.19",16,11,24,11,12,8
"ENSMUSG00000035517.17",30,34,32,18,11,23
"ENSMUSG00000035521.13",77,101,90,83,43,96
"ENSMUSG00000035522.3",0,0,0,0,0,0
"ENSMUSG00000035523.8",0,0,0,0,0,1
"ENSMUSG00000035528.4",0,0,0,0,1,0
"ENSMUSG00000035529.10",268,298,304,258,163,305
"ENSMUSG00000035530.13",182,197,183,179,116,236
"ENSMUSG00000035539.13",0,1,1,0,1,0
"ENSMUSG00000035540.12",0,0,0,0,0,0
"ENSMUSG00000035545.13",1555,1739,1734,1824,1151,2197
"ENSMUSG00000035547.14",80,125,141,147,68,112
"ENSMUSG00000035551.6",1,0,0,0,0,0
"ENSMUSG00000035557.9",39,44,42,22,13,28
"ENSMUSG00000035559.9",10,5,12,5,9,6
"ENSMUSG00000035560.5",2,0,0,1,0,1
"ENSMUSG00000035561.5",29,50,61,74,35,50
"ENSMUSG00000035566.7",6,6,4,1,2,5
"ENSMUSG00000035569.17",4849,5293,6137,5612,3645,5892
"ENSMUSG00000035572.16",455,469,463,482,331,634
"ENSMUSG00000035575.11",368,409,421,403,256,474
"ENSMUSG00000035576.13",1,4,6,5,2,3
"ENSMUSG00000035578.16",5,8,7,10,5,9
"ENSMUSG00000035580.10",5,3,3,0,1,4
"ENSMUSG00000035582.13",0,0,0,0,0,0
"ENSMUSG00000035585.16",28,21,34,37,32,41
"ENSMUSG00000035592.2",0,0,0,0,0,0
"ENSMUSG00000035594.10",0,0,0,1,1,0
"ENSMUSG00000035595.6",32,36,47,34,22,31
"ENSMUSG00000035596.14",235,262,296,290,185,308
"ENSMUSG00000035597.19",1113,1183,1059,1129,748,1567
"ENSMUSG00000035601.9",52,63,77,62,37,55
"ENSMUSG00000035606.8",1,1,0,0,0,1
"ENSMUSG00000035614.11",709,788,671,788,497,1094
"ENSMUSG00000035615.12",1,2,3,0,2,0
"ENSMUSG00000035620.15",360,435,336,334,190,465
"ENSMUSG00000035621.13",1145,1184,1432,1151,788,1219
"ENSMUSG00000035623.14",1943,2162,2056,2351,1488,2971
"ENSMUSG00000035626.4",0,0,0,0,0,1
"ENSMUSG00000035629.19",184,213,243,263,162,267
"ENSMUSG00000035632.16",810,950,1045,1033,625,1071
"ENSMUSG00000035637.14",37,33,41,36,29,44
"ENSMUSG00000035638.14",0,1,0,0,0,0
"ENSMUSG00000035640.18",60,47,52,37,36,60
"ENSMUSG00000035642.16",160,167,174,139,94,172
"ENSMUSG00000035649.17",835,1000,891,1040,606,1303
"ENSMUSG00000035651.7",0,0,0,0,0,0
"ENSMUSG00000035653.16",0,0,0,0,0,0
"ENSMUSG00000035666.14",519,588,606,558,347,642
"ENSMUSG00000035671.6",361,415,388,279,171,349
"ENSMUSG00000035673.10",597,646,815,648,426,620
"ENSMUSG00000035674.13",185,202,235,200,130,211
"ENSMUSG00000035678.8",12,18,12,14,5,17
"ENSMUSG00000035681.7",0,0,0,0,0,0
"ENSMUSG00000035683.13",132,182,184,165,84,161
"ENSMUSG00000035686.8",1,4,4,1,0,0
"ENSMUSG00000035692.7",60,77,62,48,24,61
"ENSMUSG00000035694.15",0,0,0,0,0,0
"ENSMUSG00000035696.15",1516,1920,1583,1599,868,2034
"ENSMUSG00000035697.14",7858,9136,10326,8249,5032,8342
"ENSMUSG00000035699.8",0,0,0,0,0,0
"ENSMUSG00000035704.17",83,105,102,78,42,85
"ENSMUSG00000035711.5",10,13,23,24,15,15
"ENSMUSG00000035713.15",85,103,103,86,50,95
"ENSMUSG00000035722.15",468,551,644,534,323,513
"ENSMUSG00000035725.13",313,340,274,247,159,366
"ENSMUSG00000035726.8",1728,1781,2055,1750,1203,1966
"ENSMUSG00000035735.10",1,2,1,1,1,0
"ENSMUSG00000035745.9",2,0,0,0,0,0
"ENSMUSG00000035754.8",171,195,216,167,104,177
"ENSMUSG00000035757.16",208,229,231,190,122,230
"ENSMUSG00000035759.4",31,33,26,18,12,29
"ENSMUSG00000035762.11",283,341,221,299,168,468
"ENSMUSG00000035764.5",291,331,335,310,192,362
"ENSMUSG00000035765.10",479,474,559,434,310,497
"ENSMUSG00000035769.9",13,22,20,20,8,19
"ENSMUSG00000035770.8",780,885,875,825,513,988
"ENSMUSG00000035772.11",77,89,79,73,44,95
"ENSMUSG00000035773.6",0,6,5,7,3,5
"ENSMUSG00000035775.2",1,2,1,0,1,0
"ENSMUSG00000035776.14",169,178,188,178,120,215
"ENSMUSG00000035778.17",241,287,278,408,242,478
"ENSMUSG00000035780.2",0,0,0,0,0,0
"ENSMUSG00000035781.14",756,986,1108,855,466,771
"ENSMUSG00000035783.9",5,10,8,6,2,5
"ENSMUSG00000035785.6",0,0,0,0,0,0
"ENSMUSG00000035790.15",139,159,146,154,94,195
"ENSMUSG00000035798.14",453,577,467,502,270,646
"ENSMUSG00000035799.6",0,0,0,0,0,0
"ENSMUSG00000035804.5",0,0,0,0,0,0
"ENSMUSG00000035805.13",0,0,0,1,0,1
"ENSMUSG00000035811.10",0,0,0,0,1,0
"ENSMUSG00000035818.14",0,2,3,1,1,0
"ENSMUSG00000035824.7",130,168,152,155,83,179
"ENSMUSG00000035828.11",108,108,130,79,56,88
"ENSMUSG00000035829.13",10,9,8,1,4,7
"ENSMUSG00000035831.2",0,0,0,0,0,0
"ENSMUSG00000035834.11",73,92,89,98,55,109
"ENSMUSG00000035835.14",0,1,1,1,1,0
"ENSMUSG00000035836.2",0,0,0,0,0,0
"ENSMUSG00000035840.7",250,232,182,212,162,363
"ENSMUSG00000035842.10",310,368,441,397,239,367
"ENSMUSG00000035845.17",102,115,97,99,61,136
"ENSMUSG00000035847.15",174,219,187,192,104,239
"ENSMUSG00000035849.14",1,1,3,1,3,3
"ENSMUSG00000035851.14",1881,1934,1807,1898,1305,2620
"ENSMUSG00000035852.11",1,8,6,8,2,7
"ENSMUSG00000035860.9",1,0,0,1,2,1
"ENSMUSG00000035861.6",0,0,0,0,0,0
"ENSMUSG00000035863.14",267,331,390,318,183,285
"ENSMUSG00000035864.14",10,7,7,7,7,13
"ENSMUSG00000035868.9",69,91,63,75,37,106
"ENSMUSG00000035873.8",1,2,0,0,1,4
"ENSMUSG00000035875.15",4,4,5,6,4,6
"ENSMUSG00000035877.17",580,594,667,591,409,689
"ENSMUSG00000035878.13",6,6,3,1,0,4
"ENSMUSG00000035885.5",131,126,175,109,81,105
"ENSMUSG00000035890.9",288,295,356,230,160,248
"ENSMUSG00000035891.16",1540,1782,1853,1572,959,1755
"ENSMUSG00000035896.5",0,0,0,0,0,1
"ENSMUSG00000035898.13",366,400,308,375,240,568
"ENSMUSG00000035900.18",230,269,316,275,168,265
"ENSMUSG00000035901.14",282,267,271,194,147,272
"ENSMUSG00000035910.15",0,0,0,0,0,1
"ENSMUSG00000035914.11",1,1,3,1,2,0
"ENSMUSG00000035916.8",5,11,8,10,3,10
"ENSMUSG00000035919.16",395,447,437,469,292,570
"ENSMUSG00000035923.4",0,0,0,0,0,0
"ENSMUSG00000035929.11",397,433,461,445,289,516
"ENSMUSG00000035930.9",1,1,1,0,1,1
"ENSMUSG00000035932.6",0,0,0,0,0,0
"ENSMUSG00000035933.5",797,1005,790,873,474,1159
"ENSMUSG00000035934.16",3,3,6,10,7,9
"ENSMUSG00000035936.6",0,3,4,6,3,3
"ENSMUSG00000035941.15",669,934,741,854,413,1033
"ENSMUSG00000035944.17",158,165,188,162,110,182
"ENSMUSG00000035946.7",0,0,0,0,0,0
"ENSMUSG00000035948.13",1,0,1,0,0,0
"ENSMUSG00000035949.15",763,860,793,717,447,922
"ENSMUSG00000035951.2",0,0,0,1,0,2
"ENSMUSG00000035953.14",174,209,219,217,128,233
"ENSMUSG00000035954.10",39,49,46,37,20,43
"ENSMUSG00000035958.3",386,421,395,406,263,530
"ENSMUSG00000035960.14",79,114,122,121,60,107
"ENSMUSG00000035963.8",0,0,0,0,0,0
"ENSMUSG00000035964.8",0,0,2,0,0,1
"ENSMUSG00000035967.15",422,499,410,495,290,670
"ENSMUSG00000035969.15",0,0,0,2,0,0
"ENSMUSG00000035983.4",0,0,0,0,0,0
"ENSMUSG00000035984.14",0,1,0,2,0,0
"ENSMUSG00000035992.15",468,529,436,516,318,723
"ENSMUSG00000036002.12",22,26,27,18,11,21
"ENSMUSG00000036006.20",1083,1251,1336,1340,821,1458
"ENSMUSG00000036009.16",103,140,121,127,63,146
"ENSMUSG00000036013.12",0,0,0,0,0,0
"ENSMUSG00000036019.8",13,19,18,27,14,28
"ENSMUSG00000036022.15",115,148,131,143,76,170
"ENSMUSG00000036023.6",136,169,164,185,105,208
"ENSMUSG00000036026.15",221,281,354,272,154,217
"ENSMUSG00000036027.13",0,0,0,0,0,0
"ENSMUSG00000036030.9",3,4,3,5,3,8
"ENSMUSG00000036036.15",1,0,2,3,0,1
"ENSMUSG00000036040.14",87,104,96,75,44,92
"ENSMUSG00000036045.6",0,0,0,0,0,2
"ENSMUSG00000036046.14",141,168,208,176,106,156
"ENSMUSG00000036052.14",84,100,102,74,44,82
"ENSMUSG00000036053.17",298,294,275,296,212,424
"ENSMUSG00000036054.15",863,826,1000,731,540,843
"ENSMUSG00000036057.11",211,289,322,298,155,261
"ENSMUSG00000036061.10",199,201,216,174,123,216
"ENSMUSG00000036062.13",3,1,1,2,3,3
"ENSMUSG00000036067.12",5,5,5,6,4,7
"ENSMUSG00000036073.17",117,106,125,82,65,104
"ENSMUSG00000036078.16",66,74,88,76,49,76
"ENSMUSG00000036083.15",0,0,0,0,0,0
"ENSMUSG00000036086.16",138,197,185,214,103,218
"ENSMUSG00000036087.18",527,601,505,553,338,758
"ENSMUSG00000036091.8",5,8,5,6,1,8
"ENSMUSG00000036093.7",440,551,454,472,259,607
"ENSMUSG00000036095.11",0,0,0,0,0,0
"ENSMUSG00000036097.8",766,955,792,847,468,1086
"ENSMUSG00000036098.15",0,8,0,0,1,2
"ENSMUSG00000036099.16",706,814,724,679,412,881
"ENSMUSG00000036103.9",5,3,3,3,4,6
"ENSMUSG00000036104.12",995,1163,1140,1166,702,1368
"ENSMUSG00000036106.15",4,10,8,8,0,5
"ENSMUSG00000036109.17",625,800,659,820,440,1034
"ENSMUSG00000036110.14",2,0,0,0,0,0
"ENSMUSG00000036111.8",0,2,0,0,0,0
"ENSMUSG00000036112.15",768,882,961,844,520,903
"ENSMUSG00000036114.3",99,97,120,88,65,98
"ENSMUSG00000036117.2",0,2,0,1,1,0
"ENSMUSG00000036120.10",264,222,353,171,142,160
"ENSMUSG00000036123.8",0,1,0,0,1,3
"ENSMUSG00000036131.12",0,1,1,0,0,0
"ENSMUSG00000036136.9",0,0,0,0,0,0
"ENSMUSG00000036138.16",295,394,406,395,208,387
"ENSMUSG00000036139.6",0,0,0,0,0,0
"ENSMUSG00000036144.6",0,0,1,0,2,0
"ENSMUSG00000036151.15",3,1,5,5,4,4
"ENSMUSG00000036155.13",1811,2005,2043,2271,1449,2704
"ENSMUSG00000036158.12",180,194,221,278,183,303
"ENSMUSG00000036160.13",369,421,482,401,250,409
"ENSMUSG00000036162.3",0,0,0,0,0,0
"ENSMUSG00000036167.16",420,476,443,446,276,566
"ENSMUSG00000036168.15",1,6,1,6,1,6
"ENSMUSG00000036169.6",1,2,0,0,1,0
"ENSMUSG00000036172.17",2,4,1,2,1,1
"ENSMUSG00000036180.15",790,893,1046,819,514,818
"ENSMUSG00000036181.2",2552,3328,3784,2810,1530,2489
"ENSMUSG00000036185.9",19,22,22,13,8,15
"ENSMUSG00000036186.5",9,12,14,10,6,8
"ENSMUSG00000036188.4",228,243,236,280,187,363
"ENSMUSG00000036192.15",0,0,0,0,0,0
"ENSMUSG00000036196.16",3,5,3,4,1,6
"ENSMUSG00000036197.16",470,556,551,534,317,614
"ENSMUSG00000036198.12",0,0,0,0,0,0
"ENSMUSG00000036199.9",155,201,211,150,80,147
"ENSMUSG00000036202.16",1737,2040,1720,2043,1212,2723
"ENSMUSG00000036206.12",31,28,36,14,12,15
"ENSMUSG00000036208.13",163,193,174,169,100,213
"ENSMUSG00000036211.4",6,4,12,5,5,1
"ENSMUSG00000036214.14",7,23,16,24,1,20
"ENSMUSG00000036216.5",2,1,0,3,1,4
"ENSMUSG00000036218.16",0,0,1,0,0,0
"ENSMUSG00000036223.16",66,90,89,82,42,83
"ENSMUSG00000036225.15",202,206,213,147,102,188
"ENSMUSG00000036231.5",0,0,0,0,0,0
"ENSMUSG00000036241.3",679,715,776,700,471,822
"ENSMUSG00000036242.15",0,0,0,0,0,0
"ENSMUSG00000036244.5",0,0,0,0,0,0
"ENSMUSG00000036246.14",610,703,824,839,519,823
"ENSMUSG00000036249.16",151,156,151,185,127,247
"ENSMUSG00000036251.16",0,0,0,0,0,0
"ENSMUSG00000036256.13",5,7,4,4,1,6
"ENSMUSG00000036257.15",378,484,401,457,244,573
"ENSMUSG00000036264.9",1,3,2,4,2,4
"ENSMUSG00000036270.16",454,524,582,554,341,578
"ENSMUSG00000036273.15",25,46,48,67,28,54
"ENSMUSG00000036275.13",484,632,523,420,219,520
"ENSMUSG00000036278.7",21,26,37,33,21,24
"ENSMUSG00000036281.13",213,238,249,189,120,218
"ENSMUSG00000036282.15",682,872,594,687,361,997
"ENSMUSG00000036285.10",120,132,153,137,89,144
"ENSMUSG00000036291.6",596,661,532,537,338,780
"ENSMUSG00000036292.14",29,37,33,51,28,61
"ENSMUSG00000036295.5",0,1,1,1,1,0
"ENSMUSG00000036298.10",0,3,1,1,0,3
"ENSMUSG00000036299.5",153,145,167,135,102,167
"ENSMUSG00000036304.14",46,83,73,102,39,95
"ENSMUSG00000036305.7",2,0,0,0,0,1
"ENSMUSG00000036306.13",127,242,167,375,124,404
"ENSMUSG00000036309.14",1423,1449,1459,1417,985,1849
"ENSMUSG00000036315.13",91,78,88,71,59,99
"ENSMUSG00000036322.11",0,0,1,0,0,0
"ENSMUSG00000036323.14",620,611,614,588,423,793
"ENSMUSG00000036327.18",126,155,149,111,62,127
"ENSMUSG00000036330.12",5,3,3,0,1,3
"ENSMUSG00000036333.11",2309,2672,2689,2878,1753,3322
"ENSMUSG00000036334.12",4,6,3,8,4,12
"ENSMUSG00000036339.18",669,814,697,749,427,957
"ENSMUSG00000036352.16",203,289,286,317,157,308
"ENSMUSG00000036353.13",4,5,1,4,2,8
"ENSMUSG00000036356.15",75,75,59,86,61,138
"ENSMUSG00000036357.5",0,0,0,0,0,0
"ENSMUSG00000036362.2",8,9,10,15,9,17
"ENSMUSG00000036368.8",21,22,10,11,6,25
"ENSMUSG00000036371.6",3060,3446,3314,3794,2372,4694
"ENSMUSG00000036372.14",114,149,144,127,67,136
"ENSMUSG00000036376.3",98,112,113,113,70,131
"ENSMUSG00000036377.19",34,37,38,26,17,32
"ENSMUSG00000036381.13",21,25,19,21,12,31
"ENSMUSG00000036390.8",51,60,67,70,44,74
"ENSMUSG00000036391.16",364,372,316,307,212,460
"ENSMUSG00000036395.15",0,0,1,0,0,0
"ENSMUSG00000036398.13",159,161,204,167,117,172
"ENSMUSG00000036401.5",0,0,0,0,0,0
"ENSMUSG00000036402.13",87,81,88,90,68,120
"ENSMUSG00000036403.15",340,440,462,493,270,490
"ENSMUSG00000036411.10",31,35,49,62,40,52
"ENSMUSG00000036412.5",589,762,926,735,407,601
"ENSMUSG00000036422.10",0,2,3,1,0,0
"ENSMUSG00000036427.5",729,807,972,897,576,887
"ENSMUSG00000036430.8",69,73,85,63,43,69
"ENSMUSG00000036432.8",62,68,76,55,35,60
"ENSMUSG00000036435.13",352,450,402,401,217,474
"ENSMUSG00000036437.6",0,1,1,0,0,0
"ENSMUSG00000036438.14",560,584,604,569,386,708
"ENSMUSG00000036442.8",152,181,187,157,93,173
"ENSMUSG00000036446.5",4,0,1,1,3,1
"ENSMUSG00000036449.6",0,0,0,0,0,0
"ENSMUSG00000036450.4",833,953,1046,855,529,911
"ENSMUSG00000036452.18",241,278,278,333,205,390
"ENSMUSG00000036459.15",0,0,3,0,1,0
"ENSMUSG00000036461.16",2961,3181,2950,2961,1943,3951
"ENSMUSG00000036463.8",0,0,0,0,0,0
"ENSMUSG00000036466.17",3,1,2,0,0,2
"ENSMUSG00000036469.16",19,22,25,20,12,20
"ENSMUSG00000036473.16",62,49,65,32,31,43
"ENSMUSG00000036478.8",1719,1754,1851,1883,1306,2346
"ENSMUSG00000036480.9",0,0,0,0,0,0
"ENSMUSG00000036492.12",7,6,8,0,1,0
"ENSMUSG00000036499.9",86,88,76,74,51,111
"ENSMUSG00000036500.4",0,0,0,0,0,0
"ENSMUSG00000036501.7",1379,1604,1442,1602,964,2043
"ENSMUSG00000036502.14",1,1,0,1,0,1
"ENSMUSG00000036503.13",321,361,304,339,211,471
"ENSMUSG00000036504.6",39,33,32,23,21,39
"ENSMUSG00000036510.17",0,1,0,1,0,2
"ENSMUSG00000036513.15",160,141,149,138,112,199
"ENSMUSG00000036521.5",0,0,0,0,0,0
"ENSMUSG00000036523.16",12,16,20,20,12,16
"ENSMUSG00000036526.8",751,764,900,767,535,855
"ENSMUSG00000036528.15",30,29,35,17,13,20
"ENSMUSG00000036529.17",2024,2264,2688,1997,1268,1984
"ENSMUSG00000036533.9",125,125,134,100,71,126
"ENSMUSG00000036534.6",59,73,71,45,25,50
"ENSMUSG00000036537.6",14,22,29,29,14,19
"ENSMUSG00000036545.9",3,3,4,4,3,1
"ENSMUSG00000036550.16",4047,4525,4398,4398,2771,5423
"ENSMUSG00000036551.6",1,0,1,0,1,2
"ENSMUSG00000036552.19",75,86,84,95,59,115
"ENSMUSG00000036553.16",12,14,17,12,8,12
"ENSMUSG00000036555.14",329,373,440,453,285,449
"ENSMUSG00000036557.8",3,5,2,3,0,5
"ENSMUSG00000036560.14",2,1,3,1,0,1
"ENSMUSG00000036561.9",637,703,754,692,445,785
"ENSMUSG00000036564.17",10,9,6,1,3,7
"ENSMUSG00000036565.7",823,997,1115,941,551,923
"ENSMUSG00000036568.7",573,597,533,509,345,721
"ENSMUSG00000036570.14",0,1,0,0,2,0
"ENSMUSG00000036572.16",366,367,394,374,265,467
"ENSMUSG00000036574.5",7,8,7,5,4,7
"ENSMUSG00000036578.7",0,1,0,0,0,0
"ENSMUSG00000036580.15",95,115,119,160,94,174
"ENSMUSG00000036585.16",1,4,4,4,2,4
"ENSMUSG00000036586.6",0,2,1,1,1,1
"ENSMUSG00000036587.13",1,3,3,2,0,0
"ENSMUSG00000036591.16",116,146,140,204,115,231
"ENSMUSG00000036594.15",264,343,456,342,190,239
"ENSMUSG00000036596.6",0,0,1,0,0,1
"ENSMUSG00000036598.4",0,0,0,0,0,0
"ENSMUSG00000036599.10",62,73,86,75,46,72
"ENSMUSG00000036602.14",0,0,0,0,0,0
"ENSMUSG00000036606.17",77,60,88,43,41,51
"ENSMUSG00000036611.5",49,94,78,84,27,75
"ENSMUSG00000036613.8",139,169,188,158,92,156
"ENSMUSG00000036615.6",118,110,123,100,76,129
"ENSMUSG00000036617.17",10,20,19,13,3,8
"ENSMUSG00000036620.14",51,45,64,51,41,53
"ENSMUSG00000036622.15",356,387,501,373,244,343
"ENSMUSG00000036632.9",104,122,113,125,75,156
"ENSMUSG00000036634.15",0,2,0,1,0,1
"ENSMUSG00000036636.10",206,247,264,218,128,228
"ENSMUSG00000036639.12",70,102,99,90,43,88
"ENSMUSG00000036641.9",9,7,8,7,8,11
"ENSMUSG00000036644.15",517,596,669,624,384,644
"ENSMUSG00000036646.13",511,661,664,692,376,719
"ENSMUSG00000036647.5",0,0,0,0,0,0
"ENSMUSG00000036655.8",1,1,1,0,2,0
"ENSMUSG00000036658.4",0,0,0,0,0,0
"ENSMUSG00000036661.14",76,87,94,185,117,205
"ENSMUSG00000036667.14",1,4,4,1,2,3
"ENSMUSG00000036672.5",125,162,171,189,104,188
"ENSMUSG00000036676.14",87,105,85,101,57,137
"ENSMUSG00000036678.8",143,172,194,179,106,177
"ENSMUSG00000036686.16",197,216,248,202,131,215
"ENSMUSG00000036687.13",0,7,1,0,3,0
"ENSMUSG00000036693.12",186,210,233,249,157,268
"ENSMUSG00000036698.11",3469,3471,3749,3285,2323,4076
"ENSMUSG00000036699.12",33,34,43,62,43,66
"ENSMUSG00000036707.16",1879,2004,1862,1860,1230,2494
"ENSMUSG00000036712.15",1302,1487,1369,1209,742,1535
"ENSMUSG00000036718.17",6,7,10,7,4,4
"ENSMUSG00000036721.14",85,101,96,90,53,107
"ENSMUSG00000036731.7",0,0,0,0,1,0
"ENSMUSG00000036733.16",5,6,5,3,1,4
"ENSMUSG00000036737.12",631,700,685,654,415,808
"ENSMUSG00000036743.4",3,0,0,1,3,5
"ENSMUSG00000036744.13",0,0,0,0,1,0
"ENSMUSG00000036745.15",0,0,0,0,1,0
"ENSMUSG00000036748.16",179,199,211,168,107,192
"ENSMUSG00000036749.15",0,0,0,0,0,0
"ENSMUSG00000036751.7",301,373,422,363,207,343
"ENSMUSG00000036752.4",278,283,380,287,200,271
"ENSMUSG00000036760.7",0,0,0,0,0,0
"ENSMUSG00000036764.12",11,29,24,34,9,26
"ENSMUSG00000036766.12",0,0,0,0,0,0
"ENSMUSG00000036768.6",731,1026,1006,1105,548,1089
"ENSMUSG00000036769.14",370,395,348,408,269,572
"ENSMUSG00000036770.11",0,0,1,0,0,1
"ENSMUSG00000036775.13",39,48,52,54,32,56
"ENSMUSG00000036777.8",474,519,553,536,346,616
"ENSMUSG00000036779.12",531,610,532,428,261,568
"ENSMUSG00000036781.13",117,114,148,139,101,145
"ENSMUSG00000036782.13",0,1,0,2,0,0
"ENSMUSG00000036790.5",0,0,0,0,0,0
"ENSMUSG00000036792.12",931,1097,883,1082,638,1492
"ENSMUSG00000036800.8",1,0,0,0,0,1
"ENSMUSG00000036805.13",0,0,0,0,0,0
"ENSMUSG00000036810.16",297,378,311,356,192,452
"ENSMUSG00000036813.11",0,1,0,0,0,0
"ENSMUSG00000036814.13",2,3,3,2,1,1
"ENSMUSG00000036815.17",3,3,3,4,3,5
"ENSMUSG00000036816.4",0,0,1,0,1,1
"ENSMUSG00000036817.14",419,446,496,410,274,465
"ENSMUSG00000036819.14",337,326,406,408,298,450
"ENSMUSG00000036820.12",89,101,112,74,46,78
"ENSMUSG00000036822.6",404,464,429,437,267,551
"ENSMUSG00000036825.12",172,204,221,250,151,263
"ENSMUSG00000036826.14",0,0,0,0,0,0
"ENSMUSG00000036832.5",4,5,4,1,0,1
"ENSMUSG00000036833.16",394,443,498,481,304,509
"ENSMUSG00000036834.16",4,1,4,4,5,6
"ENSMUSG00000036835.7",38,30,60,36,32,25
"ENSMUSG00000036840.5",162,164,157,144,101,199
"ENSMUSG00000036845.12",70,89,99,84,46,79
"ENSMUSG00000036850.4",48,49,56,47,33,54
"ENSMUSG00000036853.5",97,121,91,79,42,110
"ENSMUSG00000036854.14",15,25,22,17,5,16
"ENSMUSG00000036855.3",0,0,0,0,0,0
"ENSMUSG00000036856.4",11,11,8,6,5,11
"ENSMUSG00000036858.8",137,172,197,130,73,118
"ENSMUSG00000036860.14",43,32,38,26,27,42
"ENSMUSG00000036862.15",8,14,16,6,0,1
"ENSMUSG00000036863.12",71,88,104,81,46,73
"ENSMUSG00000036864.16",97,105,99,96,63,126
"ENSMUSG00000036867.7",1,1,3,1,1,0
"ENSMUSG00000036872.16",0,0,0,1,0,0
"ENSMUSG00000036873.13",115,134,137,155,95,177
"ENSMUSG00000036875.15",203,276,300,275,144,249
"ENSMUSG00000036879.15",269,361,270,390,196,510
"ENSMUSG00000036880.10",345,478,449,411,204,429
"ENSMUSG00000036882.7",99,122,147,123,72,108
"ENSMUSG00000036885.14",0,0,0,2,0,0
"ENSMUSG00000036887.5",63,66,89,64,45,59
"ENSMUSG00000036890.13",306,318,249,250,170,393
