"","ID_REF","T.DP.Th_1","T.DP.Th_2","mean","stdiv"
"273","miR-324-3p",26.12222603,37.08194306,31.602084545,7.74969023179869
"354","miR-17-3p",30.47527571,31.87073033,31.17300302,0.986735424640099
"132","miR-425-5p",7.477052344,53.53329753,30.505174937,32.5666832870109
"198","miR-674-5p",30.47821424,23.76522794,27.12172109,4.74679813474239
"864","miR-16-2-3p",11.74863176,42.45923495,27.103933355,21.7156757699782
"464","miR-669k-3p",13.62870623,38.96671679,26.29771151,17.9166790887523
"107","miR-27a-3p",14.64455207,35.90501876,25.274785415,15.0334201676897
"119","miR-181c-5p",12.68620066,34.88900841,23.787604535,15.6997559214062
"36","miR-18a-5p",12.08750506,35.16739094,23.627448,16.3199438147596
"153","miR-148b-3p",9.520557909,36.44476879,22.9826633495,19.0382920920517
"922","let-7a-1-3p",16.19296943,28.90993303,22.55145123,8.99225119766249
"89","miR-378a-3p",8.282615056,35.06515617,21.673885613,18.9381164391169
"913","miR-669a-5p",14.43698111,28.03846509,21.2377231,9.61770155645819
"124","miR-192-5p",5.677714967,36.77386715,21.2257910585,21.9883000774082
"452","miR-540-3p",17.89236061,23.56705158,20.729706095,4.01261246602507
"90","miR-29c-3p",22.65086168,18.66531769,20.658089685,2.81820518204629
"211","miR-140-3p",22.96588191,17.91093836,20.438410135,3.5743848627202
"675","miR-344f-5p",23.40825117,17.07885418,20.243552675,4.47555953245072
"852","miR-351-3p",23.45380642,16.90207322,20.17793982,4.63277497424504
"239","miR-185-5p",9.804329013,30.3040672,20.0541981065,14.4955038845765
"376","miR-1906",17.48857615,21.31459095,19.40158355,2.70540101000009
"108","miR-301b-3p",14.58344171,24.11696046,19.350201085,6.7412157566941
"130","miR-322-5p",5.798685305,32.41648646,19.1075858825,18.8216276969756
"923","miR-28a-5p",10.18301606,26.77793676,18.48047641,11.734380960223
"385","miR-1949",23.71280364,12.9447145,18.32875907,7.61418885131522
"40","let-7f-5p",21.04516364,14.93948557,17.992324605,4.31736636703899
"152","miR-103-3p",11.4537613,23.86753502,17.66064816,8.77786357752735
"821","miR-471-3p",20.52091404,13.97651226,17.24871315,4.62759087744731
"210","miR-301a-3p",12.47363851,21.6706447,17.072141605,6.50326544356365
"194","miR-467c-5p",7.683213268,25.52384553,16.603529399,12.6152320531157
"343","miR-1195",21.68550702,10.77875197,16.232129495,7.71224045659562
"51","miR-484",5.717419892,26.44626148,16.081840686,14.6575044530165
"336","miR-106b-3p",28.69105708,2.582402288,15.636729684,18.4616068510819
"915","miR-486a-5p",16.15267885,14.24331149,15.19799517,1.35012660803226
"65","miR-677-5p",12.33018024,17.52994601,14.930063125,3.67678963654869
"509","miR-1249-3p",14.40429235,14.81543652,14.609864435,0.290722830652315
"150","miR-361-5p",21.67614027,6.945377225,14.3107587475,10.4162224411717
"225","miR-188-3p",12.98380689,15.39609788,14.189952385,1.70574731722421
"651","miR-363-5p",14.96487605,11.85251738,13.408696715,2.20076992104174
"167","miR-186-5p",13.86631343,12.7618314,13.314072415,0.780986733111684
"652","miR-375-5p",9.824734206,15.87255524,12.848644723,4.27645526454404
"916","miR-467a-3p",12.85328433,12.55697392,12.705129125,0.209523100247165
